jpohhhh,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 02:09:08 +0000 2018
loravura,horrifying https://t.co/SrW39v8wtl,,Sun Aug 19 00:26:02 +0000 2018
animeclubcutie,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:25:51 +0000 2018
whozatagain,@TrancewithMe This is an extraordinary story.  There's a weird bit in a Gunter Grass novel about magical glasses that allow young people to see what the seemingly good and normal folks around them were doing during the Nazi era.  Horrifying.,,Sun Aug 19 00:25:31 +0000 2018
tina_plunkett,"Holy shit! 
The disgusting language &amp; names used on green mp Julie Ann Genter (about her going to give birth) is absolutely horrifying!
Seriously @nzherald @NZStuff sort your shit out. Delete block ban these trolls. It is vile.",,Sun Aug 19 00:25:31 +0000 2018
mortrager,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 00:25:12 +0000 2018
stophrtngusa,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:24:50 +0000 2018
ResistaMomma,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:24:49 +0000 2018
thechefcarolyn,RT @JABaloney: **A Psychologist just revealed the horrifying truth about trumps malignant narcissism https://t.co/P28SAfoj3Q links to book…,**A Psychologist just revealed the horrifying truth about trumps malignant narcissism https://t.co/P28SAfoj3Q links to book and podcast,Sun Aug 19 00:24:40 +0000 2018
thechefcarolyn,"RT @raggapegs: #Unfit  #SaturdayMorning 
https://t.co/XGf5ghzAUy","#Unfit  #SaturdayMorning 
https://t.co/XGf5ghzAUy",Sun Aug 19 00:24:35 +0000 2018
Clark408,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:24:30 +0000 2018
ferraricherie,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:24:28 +0000 2018
thechefcarolyn,RT @FastFreddy99: @safeagain1 @realDonaldTrump https://t.co/1kxOVy114s,@safeagain1 @realDonaldTrump https://t.co/1kxOVy114s,Sun Aug 19 00:24:23 +0000 2018
KittenRescuer,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:24:22 +0000 2018
thechefcarolyn,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 00:24:18 +0000 2018
KathySueHurt1,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:24:09 +0000 2018
thechefcarolyn,RT @big_cis: Sounds about right. https://t.co/zkftg3vvAt,Sounds about right. https://t.co/zkftg3vvAt,Sun Aug 19 00:24:08 +0000 2018
Firni,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:56 +0000 2018
stanspak,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:54 +0000 2018
pms221969,RT @Newsweek: These horrifying cakes look like human body parts https://t.co/GMIs0JfTmw,These horrifying cakes look like human body parts https://t.co/GMIs0JfTmw,Sun Aug 19 00:23:51 +0000 2018
MREJohnston,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 00:23:45 +0000 2018
VON_netta,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:45 +0000 2018
H8MeWhatever,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:23:32 +0000 2018
Icarus2009,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:16 +0000 2018
WashingtonNicki,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:14 +0000 2018
ToddMishler,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:13 +0000 2018
lilikoian,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:23:09 +0000 2018
LawrenceSeetoh,RT @donttrythis: Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Read this. Horrifying. Disgusting actually. https://t.co/tVGQs5LRmj,Sun Aug 19 00:22:54 +0000 2018
margeauxcotton,RT @dralysalucas: Three best friends road-tripped from MI➡️MN to see @thedollop with @daveanthony and @reynoldsgareth and it was amazing pe…,Three best friends road-tripped from MI➡️MN to see @thedollop with @daveanthony and @reynoldsgareth and it was amazing per usual! Thanks guys for both horrifying us and making us laugh. #roadtrip #thedollop #thanks #threebestfriends #40AF https://t.co/lNbe56UbL3,Sun Aug 19 00:22:51 +0000 2018
DanHawkins11,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:22:31 +0000 2018
Solutioneer72,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:22:18 +0000 2018
ahoppiegirl,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 00:22:06 +0000 2018
sdmike,this is horrifying https://t.co/yNc5gZNdMN,,Sun Aug 19 00:22:06 +0000 2018
Theshirlsmith,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:21:50 +0000 2018
GatsMomm,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:21:42 +0000 2018
SandiT17,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 00:21:40 +0000 2018
ITAKANANA,RT @ChelseaClinton: Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Horrifying. #FamiliesBelongTogether https://t.co/G1R9wKOk1W,Sun Aug 19 00:21:25 +0000 2018
Answers_to_None,"@CEThomson @1958TO4EVER @GeoValentine @wingheart Horrifying, I know. I can't get through the transcripts. I've read most of them, but they're heartbreaking. Mostly bc of the level of betrayal. I admire those who tried to help (DiLeo- again- I'm on the fence). &amp; UR right, there R people who are smeared for it.",,Sun Aug 19 00:21:19 +0000 2018
sdmike,@Itsmiketheboxer that's horrifying,,Sun Aug 19 00:21:11 +0000 2018
SallyRMelb,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:20:51 +0000 2018
Squarah1138,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:20:38 +0000 2018
aloha_kids2,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 00:20:27 +0000 2018
Ivdown12,"RT @Soren_Ltd: Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a…","Here’s some extremely valuable advice for any interaction you have with an artist or creator you are a fan of:

Revealing a deep knowledge of their work = totally fine.

Revealing a deep knowledge of their personal life = horrifying.",Sun Aug 19 00:20:22 +0000 2018
dev_elisabeth,I didn't realize the gap between 21 and 27 but it's horrifying. How terrible to miss out on early 2000s hip hop,,Sun Aug 19 00:20:22 +0000 2018
bowen1953,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:20:07 +0000 2018
LaBlue3D,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:20:02 +0000 2018
suepeac,RT @SafiyahNoor1: @acropoet @benjaminwittes Fox tells them that those feelings make them patriotic🤷🏽‍♀️For them the country is a mythical p…,@acropoet @benjaminwittes Fox tells them that those feelings make them patriotic🤷🏽‍♀️For them the country is a mythical place and we who don’t subscribe to their myth are an infestation that they must be stopped. It is horrifying.,Sun Aug 19 00:19:38 +0000 2018
2005Cosmic,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:19:27 +0000 2018
SheliRood,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 00:19:20 +0000 2018
DianneMenard,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:19:10 +0000 2018
mmehenriquez,RT @LeaferNHL: @BekkajSodaCity @brianklaas What's truly absurd and horrifying is that the American people seem content with just complainin…,@BekkajSodaCity @brianklaas What's truly absurd and horrifying is that the American people seem content with just complaining on Twitter instead of taking real action.  Where are the protests?,Sun Aug 19 00:19:05 +0000 2018
workclassjane,"RT @ShauneArnold: Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does.…","Listen from beginning to end. This man is a danger to the USA .  When DJ TJ gets arrested by the FBI, watch what he does. The Dworkin Report https://t.co/2QWqZLa3y3",Sun Aug 19 00:19:03 +0000 2018
Ahuio98,RT @xpetcheetahx: @Talalxsk I don’t like cats but I do not like animal abuse It’s sick and horrifying these people deserve death,@Talalxsk I don’t like cats but I do not like animal abuse It’s sick and horrifying these people deserve death,Sun Aug 19 00:18:59 +0000 2018
FoxNewsisFakeN2,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:18:57 +0000 2018
mmehenriquez,RT @BekkajSodaCity: @brianklaas What's truly absurd and horrifying is the #complicitGOP that stands by idly and ignored it. God willing Nov…,@brianklaas What's truly absurd and horrifying is the #complicitGOP that stands by idly and ignored it. God willing November will be beginning of the end. #VoteBlue #VoteThemOut,Sun Aug 19 00:18:56 +0000 2018
JesseW316,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:18:54 +0000 2018
crewoldt,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:18:49 +0000 2018
Jan4Wellness,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 00:18:42 +0000 2018
burch_woodall,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:18:41 +0000 2018
Swallowtude,RT @prince_kaiju: @ZhouChauster It’s amazing (and by amazing I mean horrifying) that to this day I still hear gringos say that dropping nuc…,@ZhouChauster It’s amazing (and by amazing I mean horrifying) that to this day I still hear gringos say that dropping nuclear bombs on civilians was needed. The mental gymnastics that gringos go through to justify USA’s war crimes is unbelievable.,Sun Aug 19 00:18:40 +0000 2018
karenfhy,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:18:33 +0000 2018
ersle,RT @awkward_1110: @koushikdas47 @peta OMG 💔 💔 💔 what is going on⁉️⁉️ 💔 💔 💔 STOP this horrifying CRUELTY 👊👊👊 Beyond anything 😱💔💔,@koushikdas47 @peta OMG 💔 💔 💔 what is going on⁉️⁉️ 💔 💔 💔 STOP this horrifying CRUELTY 👊👊👊 Beyond anything 😱💔💔,Sun Aug 19 00:18:32 +0000 2018
TrumpetTisch,"@busybirdie10 @Franklin_Graham I cant stomach francis but this didn't just start recently. 
As horrifying as this is let's be grateful that the truth is being brought to light.",,Sun Aug 19 00:18:10 +0000 2018
Casinogrammie,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:18:04 +0000 2018
Barbnotbot,Good grief. This is truly horrifying. How have they gotten away with all this?? https://t.co/T0krEVjfl8,,Sun Aug 19 00:18:02 +0000 2018
SusanMurdoch12,"@AlternateUniv10 @MSNBC Horrifying isn't it? I can't figure out why these people still stand by him, we are living in a very strange world!!",,Sun Aug 19 00:18:01 +0000 2018
CEThomson,"@1958TO4EVER @GeoValentine @Answers_to_None @wingheart In that climate, the frequently horrifying revelations during that trial - that MJ was physically assaulted, ridiculed, verbally abused, tricked about how much money he'd earn, tricked about his work schedule, that his failing health was mocked and ignored - fell on deaf ears.",,Sun Aug 19 00:17:57 +0000 2018
illinoisdan,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:17:57 +0000 2018
Friends9157,"@Alyssa_Milano Omg, that’s horrifying. How could you send parents home without their children. That’s just INSANE!!!",,Sun Aug 19 00:17:50 +0000 2018
andmichaelgreen,@garywhitta What evidence of what kind of transgression would turn the GOP against him now? I can think of none. Horrifying.,,Sun Aug 19 00:17:46 +0000 2018
Lillygirl2018,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:17:42 +0000 2018
OMAC2015,@harirex @JimCarrey It's beyond horrifying. It's insulting.,,Sun Aug 19 00:17:15 +0000 2018
ZhouChauster,RT @prince_kaiju: @ZhouChauster It’s amazing (and by amazing I mean horrifying) that to this day I still hear gringos say that dropping nuc…,@ZhouChauster It’s amazing (and by amazing I mean horrifying) that to this day I still hear gringos say that dropping nuclear bombs on civilians was needed. The mental gymnastics that gringos go through to justify USA’s war crimes is unbelievable.,Sun Aug 19 00:17:01 +0000 2018
raider_Harvey,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:16:50 +0000 2018
DotCalmsshadow,"RT @funder: A psychologist spoke to me extensively about Trump’s mental state, and what he said is absolutely terrifying. No joke, Trump’s…","A psychologist spoke to me extensively about Trump’s mental state, and what he said is absolutely terrifying. No joke, Trump’s an actual sociopath. A monster. You have to hear my interview below with Dr. John Gartner. It’s a must listen. #DworkinReport
https://t.co/wklcHGfUJq",Sun Aug 19 00:16:49 +0000 2018
titodinzey,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:16:48 +0000 2018
WorkAtBeingKind,"RT @WorkAtBeingKind: Horrifying
Where are PETA and all the other phony supposedly caring organizations when the abuse of animals is being d…","Horrifying
Where are PETA and all the other phony supposedly caring organizations when the abuse of animals is being done by these “moderate” Muslims? https://t.co/UEKjX5x3gW",Sun Aug 19 00:16:47 +0000 2018
kimberl54726609,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:16:47 +0000 2018
_jennarichards,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:16:45 +0000 2018
KJayCee,"@RepublicanDalek I have spent some quality time doing this for NYC restaurants. They put up ""grade"" signs in restaurants here (A, B, C, etc) - it's fun/horrifying to read the violations at the ones with the lowest grades.",,Sun Aug 19 00:16:37 +0000 2018
Robert_Q610,"RT @ETCanada: If you ever thought you wanted to meet #HomerSimpson in real life, think again https://t.co/39FeCNUTp6 #TheSimpsons","If you ever thought you wanted to meet #HomerSimpson in real life, think again https://t.co/39FeCNUTp6 #TheSimpsons",Sun Aug 19 00:16:15 +0000 2018
starlitaria,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:16:13 +0000 2018
Kimbpossible18,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:16:04 +0000 2018
HighfillLain,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:15:52 +0000 2018
haengbok_haja_,RT @captainsafia: lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t…,lolsob at the epidemic of men who believe that having to think before they speak is a horrifying inconvenience. https://t.co/F322lD8BTE,Sun Aug 19 00:15:52 +0000 2018
ShahabZargari,"RT @sethhahne: Lovecraft Country illustration for @rise_up_daily. Original didn't feature tentacles because in reading the book, I (and the…","Lovecraft Country illustration for @rise_up_daily. Original didn't feature tentacles because in reading the book, I (and the main characters) didn't really find the lovecraftian fantasy elements horrifying but the northern whites? That's terror. https://t.co/HIYBWCz0mJ",Sun Aug 19 00:15:46 +0000 2018
Avonan,"RT @agolubowitsch: reading this summary, i believe that either a.) angela merkel is super clever and plays good poker, or b.) germany, and…","reading this summary, i believe that either a.) angela merkel is super clever and plays good poker, or b.) germany, and in turn europe, are completely fucked.
i have a tendency towards the latter, i am afraid.
this is horrifying. https://t.co/Ah8Tgkqunx",Sun Aug 19 00:15:46 +0000 2018
ndumiso_ndlovu,RT @uNdlunkulu_Xoli: Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity…,"Your ANC Government was able to forgive the Apartheid Government for the horrifying crimes committed against humanity but they throw in jail students who were fighting for Free Education, the same Education the ANC promised people 😔

#KnowYourANC #FeesMustFall #MceboDlamini",Sun Aug 19 00:15:42 +0000 2018
JodiWhitehead,RT @gibbee1: Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Please listen and ReTweet to your followers. @realDonaldTrump must be removed from office ASAP.https://t.co/tm8Cu86mMy,Sun Aug 19 00:15:39 +0000 2018
Vaklam,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:15:29 +0000 2018
sherry_gottlieb,"RT @Chi_Curmudgeon: @BillKristol You can’t control or reason with malignant narcissism 
https://t.co/7iZR8as5jA","@BillKristol You can’t control or reason with malignant narcissism 
https://t.co/7iZR8as5jA",Sun Aug 19 00:15:27 +0000 2018
TTHDragons,"RT @RAICESTEXAS: This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

N…","This is absolutely devastating. Another day, another horrifying article about the cruelty of @ICEgov. 

‼️ABOLISH ICE‼️

No one is illegal. 
This is not how we should treat one another.

#AbolishICE 

https://t.co/jgIqG0PGal",Sun Aug 19 00:15:25 +0000 2018
zabberdast,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:15:11 +0000 2018
Jews_News,British is collapsing before our very eyes https://t.co/FIE8nJkTmU,,Sun Aug 19 00:15:09 +0000 2018
TheTadcaster,RT @ErikLoomis: This gets more horrifying by the word. https://t.co/lVfMZfcq4h,This gets more horrifying by the word. https://t.co/lVfMZfcq4h,Sun Aug 19 00:15:05 +0000 2018
vonFoxhole,@SailorJane92 I’ve already watched both. This has been a long time coming in my litany if shows to watch. I’ve put it off because I thought it would be too horrifying to watch. I was right.,,Sun Aug 19 00:15:02 +0000 2018
clgerber,RT @brianklaas: It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the Ameri…,It will always be totally absurd and horrifying that—with all the problems facing the United States and the world—the American president spends hour after hour of his time watching cable TV programs so he can tweet praise of those who praise him and tweet attack those who do not. https://t.co/AWrArbySo9,Sun Aug 19 00:14:59 +0000 2018
GenevieveAraque,This is horrifying! https://t.co/HIu2dmpCPh,,Sun Aug 19 00:14:57 +0000 2018
deranged_84,"Just went live with ""The Good, The Bad and the Horrifying"" at https://t.co/WAkosXrPP2 or https://t.co/LtCubyL0g4 or https://t.co/udYu5qr5Sx @Hemp2Clix @ZombieQueenTee @StreamTracker @Razer @TeamRazer @SingleMom2424 @songwriter159 @marbleyez0O",,Sun Aug 19 00:14:54 +0000 2018
abigailem1,RT @xpetcheetahx: @Talalxsk I don’t like cats but I do not like animal abuse It’s sick and horrifying these people deserve death,@Talalxsk I don’t like cats but I do not like animal abuse It’s sick and horrifying these people deserve death,Sun Aug 19 00:14:53 +0000 2018
