SeshfuII,a bitch had to walk home in the down pouring rain hehe rawr xd,,Sat Aug 18 22:45:44 +0000 2018
exclusivelyDK,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:25:41 +0000 2018
wdwloveariana,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 12:25:09 +0000 2018
loveBuckeyes1,"RT @TheNationWHS: Pouring Rain ✔
Multiple Delays ✔
Panther Nation Still Shows Up ✔ https://t.co/1fcyXRCEXn","Pouring Rain ✔
Multiple Delays ✔
Panther Nation Still Shows Up ✔ https://t.co/1fcyXRCEXn",Sat Aug 18 12:23:58 +0000 2018
ynah81,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:23:28 +0000 2018
DonKissFeels,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:22:42 +0000 2018
Shiny_1128,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:22:33 +0000 2018
Zaynab71990,"RT @Hayaa102: I want to kiss you with the rain pouring down, hair clinging to Our faces ...

Clothes clinging to Our bodies
And Us clinging…","I want to kiss you with the rain pouring down, hair clinging to Our faces ...

Clothes clinging to Our bodies
And Us clinging to each Other ...

❤
❤

#happyrainyday
#mylove 
#weatherlove https://t.co/h1uxyHcEG4",Sat Aug 18 12:22:19 +0000 2018
JillyBean_BR,"First official day of vacation. Pouring rain, and I don't care. I got to disable my alarm for an entire week.  Although I do have a 4 yo, so maybe it doesn't matter that much.  #hoorayvacation",,Sat Aug 18 12:22:05 +0000 2018
ashleenbauer,I love hearing the sound of pouring rain...I’m staying in bed all day today,,Sat Aug 18 12:21:57 +0000 2018
lovelyd47422678,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:21:07 +0000 2018
maeangel72000,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:20:18 +0000 2018
simpIyserena,Omg it’s been a year since demi on gma in the pouring rain,,Sat Aug 18 12:19:22 +0000 2018
gentles14101972,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:18:58 +0000 2018
joyful_13,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:18:48 +0000 2018
trexiame,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:18:37 +0000 2018
goodvibes5254,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:17:50 +0000 2018
Neyo_08,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:17:05 +0000 2018
BonnieEsson,RT @KrisGelder: Pouring rain ~ and the music lovers stayed teenage_head_official @CactusFest #pouringrain #musiclovers #festivalseason #can…,Pouring rain ~ and the music lovers stayed teenage_head_official @CactusFest #pouringrain #musiclovers #festivalseason #canadianbandsrock🍁 #livemusic #quickcellphonepic https://t.co/iCNJN06OFI,Sat Aug 18 12:16:40 +0000 2018
toxictorte,"Piece by piece, so suddenly, no subtleties
Your beauty can bring me to my knees
Cause I've never heard a song sung quite like Elvis
Not much beats the sound of the pouring rain
There's something in your kiss
Leaves me so helpless
You leave me breathless 🎶
https://t.co/5UDJpQwr6r",,Sat Aug 18 12:16:03 +0000 2018
astroguypaul,"RT @SciBry: Whether it’s a blizzard or a wind storm or pouring rain, Torontonians can’t get enough of #AstronomyOnTapTO! Super proud of the…","Whether it’s a blizzard or a wind storm or pouring rain, Torontonians can’t get enough of #AstronomyOnTapTO! Super proud of the talented @DunlapInstitute team who’ve made tonight happen. https://t.co/xSF2panQBL",Sat Aug 18 12:15:45 +0000 2018
Whit_R,"Hoping the rain clears out by this evening...

Currently, at my house an hour from the track, it's absolutely pouring down rain and has been for a while now. Ugh.",,Sat Aug 18 12:15:21 +0000 2018
Southern__Duck,"@CharlesInPhx That makes sense, but that's not the case when it's pouring rain.",,Sat Aug 18 12:14:37 +0000 2018
camiana2003,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 12:12:14 +0000 2018
Joyjoy871,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:11:49 +0000 2018
kissesloves046,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:11:24 +0000 2018
aykatie,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 12:10:46 +0000 2018
alyzyeager,The rain just won’t stop pouring.,,Sat Aug 18 12:10:35 +0000 2018
KatieMarais5,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 12:10:34 +0000 2018
CannoKolb,"Jesus Christ, it is POURING rain rn. I’m hungry. 😭",,Sat Aug 18 12:09:54 +0000 2018
straykidsmeh,wow the rain suddenly started pouring . . . now my data's acting meh .___.,,Sat Aug 18 12:09:45 +0000 2018
Xomz7,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 12:09:15 +0000 2018
Alicia_Nicole2,RT @BeautyChickee: I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,I woke up for like a second and it’s pouring rain and thundering and lightening SO BADLY,Sat Aug 18 12:09:10 +0000 2018
roobutera,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 12:09:06 +0000 2018
joyanne121598,"I know your eyes in the morning sun.
I feel you touch me in the pouring rain.
And the moment that you wander far from me.
I want to feel you in my arms again. 🎶",,Sat Aug 18 12:08:10 +0000 2018
vil0106,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:07:34 +0000 2018
kendallbth,RT @MarthaHunt_b: [IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,[IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,Sat Aug 18 12:07:15 +0000 2018
riffy0227,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:06:36 +0000 2018
iloveDK6,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:05:31 +0000 2018
DonutAndChocol8,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:04:34 +0000 2018
RNalumen,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:04:30 +0000 2018
marnyxasdfgh,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:04:28 +0000 2018
lavienne1,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:04:13 +0000 2018
prettydodger22,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:04:01 +0000 2018
dianneyy07,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:03:38 +0000 2018
Irene08569843,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:03:22 +0000 2018
KiwiRainbows,"A customer was leaving and I went, very loudly mind you, “it be like that sometimes.” Because it was pouring rain.
 I’ve never seen a person give me a dirtier look in my life.",,Sat Aug 18 12:02:35 +0000 2018
pinkstaaar_,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:02:17 +0000 2018
Miles_Away5254,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:01:54 +0000 2018
AveeVM,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 12:01:52 +0000 2018
clovertouchaus,"Pouring. I love rain on a tin roof.

Hail is fun too.
From the ins inside.",,Sat Aug 18 12:01:09 +0000 2018
xxjordanavery,I mean we’re in the “Deep South” and it’s extremely windy right now. Looks like its gonna start pouring rain soon (again 😔) This town is just incredibly inept at having a good time in. Forget about it. Fuck Greenville! X,,Sat Aug 18 11:58:39 +0000 2018
deceimbr,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:58:34 +0000 2018
010Rhyne,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:57:30 +0000 2018
xydajarol14,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:57:20 +0000 2018
aricarriedemi,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:57:15 +0000 2018
JICHUKO,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:56:55 +0000 2018
pcayetanocoste1,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:56:41 +0000 2018
Queenjaym_,"RT @WaddaaAbutalib: Maroon 5: I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smil…","Maroon 5: I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay a while

11 year old me: 
AAAAAND SHE WILL BE LOVED
AAAAAND SHE WILL BE LOVED https://t.co/7yiiAVzI42",Sat Aug 18 11:55:35 +0000 2018
Apinya_Chuay,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:54:34 +0000 2018
kissesjhoydk,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:54:32 +0000 2018
eunjaekim3,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:54:14 +0000 2018
Trexie294DK,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:54:04 +0000 2018
ChantalleLH,"Foggy and pouring rain around the ithsmus. Surprise, surprise. https://t.co/NpRAjiOEA0",,Sat Aug 18 11:54:03 +0000 2018
_h2gkmo,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:53:02 +0000 2018
IamKhryzzalene,"Rain came pouring down,when I was drowning that's when I could finally breathe~",,Sat Aug 18 11:52:57 +0000 2018
DonKiss07,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:52:50 +0000 2018
ilysbkisses,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:51:46 +0000 2018
jasmond0717,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:51:45 +0000 2018
norienextra,You're my sunshine in the middle of the pouring rain.,,Sat Aug 18 11:51:09 +0000 2018
fabkirsy,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:51:08 +0000 2018
hearty_06,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:51:04 +0000 2018
FanGirl_O5,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:50:08 +0000 2018
leen_aiDK,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:49:38 +0000 2018
k_kdent,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:49:27 +0000 2018
chillDKfan,"RT @skamkisses: you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL","you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",Sat Aug 18 11:49:16 +0000 2018
wolflady61,"A few days ago a guy up the road from me had a sponge and some soap outside washing his car in the pouring rain! Heck, why not? LOL https://t.co/XD5lSlbO2N",,Sat Aug 18 11:49:11 +0000 2018
ParamysticalOne,"It's only 7:45am &amp; my day has been crap! Got up to a lake of Willow pee at 5am. Took dogs out in the POURING rain. Come in &amp; Willow peed &amp; pooped on the rug. Hurt my back dealing with it all. Found a text from daughter, 1am &amp; there's lots of pee. WHY didn't she clean it? 🤬🤬🤬",,Sat Aug 18 11:49:05 +0000 2018
skamkisses,"you're my sunshine when the rain is pouring

@delavinkisses
@donnypangilinan
#PlayHouseDKTeaser https://t.co/6b11j30tnL",,Sat Aug 18 11:48:26 +0000 2018
quttiezz,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:48:26 +0000 2018
bqbyhoneyari,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:47:30 +0000 2018
Banterbrian,RT @PTTsupporters: Delayed trains. Plans altered. Pouring rain. The season is well and truly back #AwayDays,Delayed trains. Plans altered. Pouring rain. The season is well and truly back #AwayDays,Sat Aug 18 11:44:39 +0000 2018
kinasha88,Although this rain was pouring I still had to keep on my fan 🤷🏾‍♀️,,Sat Aug 18 11:42:41 +0000 2018
AngTanong123,RT @RealTalk10110: You're my sunshine in the rain when it's pouring.,You're my sunshine in the rain when it's pouring.,Sat Aug 18 11:39:39 +0000 2018
AlanAlan1961,"@CarolKettley I'm good thanks,apart from having to work in the pouring rain 😕😂😘xx",,Sat Aug 18 11:36:49 +0000 2018
LIVingNowforUs,Enjoy your life no matter the circumstances. Even though the rain ☔️ is pouring be ready to dance 💃🏼. Even though the sun ☀️ is hot be ready to live. Be ready every day every moment to go and be more.,,Sat Aug 18 11:36:24 +0000 2018
757LiveKairali,"The #Shivraj_Singh_Chouhan government in Madhya Pradesh has announced an aid of Rs 10 crore to help #Kerala. Amid fears of more rain in the flood-hit state, help has started pouring in from other states with... https://t.co/TefGZ9vNzl",,Sat Aug 18 11:36:10 +0000 2018
EyeCharity,"A massive well done to Dr Bish Pal and @dr_clough, both consultants at @Moorfields, who took on @RideLondon 100 on 29 July in the pouring rain to help raise money for important research. Please visit their fundraising pages at https://t.co/c9ISnnrimA and https://t.co/FGa5qDY8FW https://t.co/V1Cf9aLwRG",,Sat Aug 18 11:35:04 +0000 2018
sweetenerkid_,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:32:40 +0000 2018
POOROLJC,"@IDOT_Illinois 
I drive Interstate 74 12 times a week. I'm very disappointed that they were laying asphalt in pouring down rain on Friday, you know that is not going to last.
The roads are horrible the way they are, no sense in speeding up that deterioration.
Very disgusted !!",,Sat Aug 18 11:32:36 +0000 2018
italymystery,RT @italymystery: Kiss me in the pouring rain #SwanQueen https://t.co/TBxueXaVXU,Kiss me in the pouring rain #SwanQueen https://t.co/TBxueXaVXU,Sat Aug 18 11:32:07 +0000 2018
sweetenerclouds,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:29:59 +0000 2018
taew_apinya,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:28:59 +0000 2018
fafefivi,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:28:20 +0000 2018
ajw___,"I could keep waiting for you in the spot we’d always wait, in the city on the park bench, in the summer under pouring rain",,Sat Aug 18 11:28:06 +0000 2018
thinkinbouhtari,RT @grandethegod: she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,she came to hug us in the pouring rain .. SHE HAS THE BIGGEST HEART https://t.co/kegounkbL4,Sat Aug 18 11:25:03 +0000 2018
PeihuaPornPorn,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:24:27 +0000 2018
BKBuaLoy,"RT @jideukie: “You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https…","“You make my heart feel like it’s summer when the rain is pouring down..” - The One, Kodaline
(https://t.co/Fy7gYq4PsQ) https://t.co/WtEuYwxvwx",Sat Aug 18 11:24:26 +0000 2018
littleobsessian,RT @charvrmnck: ‘Love will finds its way back through the storm and pouring rain.’,‘Love will finds its way back through the storm and pouring rain.’,Sat Aug 18 11:24:19 +0000 2018
madhavmtm,#rain #raining #rainyday #pouring #rainydays #water #clouds #cloudy #photooftheday #puddle #umbrella #instagood #gloomy #rainyweather #rainydayz #wet #splash #downpour #instarain… https://t.co/eolBHOpp12,,Sat Aug 18 11:22:43 +0000 2018
ttranstromer,"There’s a tree walking around in the rain, 
it rushes past us in the pouring grey.",,Sat Aug 18 11:16:18 +0000 2018
PTTsupporters,Delayed trains. Plans altered. Pouring rain. The season is well and truly back #AwayDays,,Sat Aug 18 11:15:55 +0000 2018
pinque_janis,you`re my sunshine in the rain when it`s pouring,,Sat Aug 18 11:15:37 +0000 2018
haronysmabel_,"Some how every time I go outside and it rains I miss the actual pouring rain part. Lol, I think Orlando taught me how to avoid rain 😂",,Sat Aug 18 11:14:56 +0000 2018
MOYOUTH_,RT @MarthaHunt_b: [IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,[IG update] u make my heart feel like its summer when the rain is pouring down💘🌟🌨 #Chillout https://t.co/tCwrWnOjgR,Sat Aug 18 11:13:49 +0000 2018
