CmCristy53,RT @Marebear1472: @paxton Is the shooter in custody?,@paxton Is the shooter in custody?,Sun Aug 19 15:41:13 +0000 2018
webhog52,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:13:31 +0000 2018
BradPresta,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:05:43 +0000 2018
JohnGor77222373,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:01:56 +0000 2018
Cdn_4Trump,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 04:00:31 +0000 2018
LKulferst,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:50:52 +0000 2018
hoosierdaddy033,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:49:31 +0000 2018
wctranger,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:47:06 +0000 2018
barbarybard,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:43:08 +0000 2018
KatgirlKaren,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:40:54 +0000 2018
lukeswinford,"RT @courierpress: One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.…","One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.co/jD7BaY2u6e",Sat Aug 11 03:37:44 +0000 2018
bernadette872,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:34:53 +0000 2018
prriegler,RT @ShmooReport: Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They…,Certainly looks like it. The police at Fredricton news conference still unwilling to release the name of the shooter. They have him in custody in a hospital bed and are unwilling to release his name???? https://t.co/C5dT5Roqui,Sat Aug 11 03:33:38 +0000 2018
bpolivchuk,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:33:34 +0000 2018
littleshasta,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:31:07 +0000 2018
happycanuck1974,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:29:02 +0000 2018
FUDDSWORLD,"Searchingthe #Fredericton hashtag is a joke. Every post should be asking why they have not ID'd the shooter. They have him in custody.

Time to release it.",,Sat Aug 11 03:28:24 +0000 2018
kanadec126,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:27:13 +0000 2018
whiteeuwoman,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:26:19 +0000 2018
RickRed10,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:21:45 +0000 2018
DevaultBreanna,"RT @courierpress: One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.…","One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.co/jD7BaY2u6e",Sat Aug 11 03:21:10 +0000 2018
courierpress,"One in police custody, one hospitalized after drive-by shooting at Riverside and Boeke https://t.co/3jevVV8J6v https://t.co/jD7BaY2u6e",,Sat Aug 11 03:20:05 +0000 2018
brendafox26,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:18:27 +0000 2018
CindyDcmurphy,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:15:34 +0000 2018
sociopatriot,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 03:06:18 +0000 2018
reFocusZone,"#Fredericton: Whenever Police HIDE the shooter's name... its usually a clear giveaway that the killer is likely a muslim/minority and this could be another terror attack that the biased media will want to play down or cover up:

#news #Canada #tcot https://t.co/klFEr0xqgT #MAGA https://t.co/EO0mPGhHrY",,Sat Aug 11 03:02:32 +0000 2018
justdoji,"@CBCNB And whooo ? Whoo is the shooter ? Is it a ghost even already in custody?? Does media want us to guess and just be honest people, when there is no name, nothing, no billboard picture pf the shooter...what is in you head ?? This is just build more of frustration and distrust.",,Sat Aug 11 02:58:20 +0000 2018
loupierri,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:57:27 +0000 2018
eastcoastcandau,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:52:14 +0000 2018
gjglenn,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:51:27 +0000 2018
JayRE76,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:37:10 +0000 2018
LRiczu,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:36:28 +0000 2018
jenny5e,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:26:34 +0000 2018
Richard321well,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:26:04 +0000 2018
deekaykelly,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:25:57 +0000 2018
TurfSmurfs,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:17:24 +0000 2018
ed1950,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:11:58 +0000 2018
Maged_Canada,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:07:08 +0000 2018
Luke4Tech,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 02:06:20 +0000 2018
frbissonnette,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:50:00 +0000 2018
wmathison,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:48:29 +0000 2018
goodbyemanitoba,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:47:18 +0000 2018
Wu26Wu,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:42:36 +0000 2018
MikeMw86,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:41:35 +0000 2018
LindaHa40857091,"RT @JoieQ101: “He was in federal custody awaiting deportation in 2016, but an immigration judge put a halt on his deportation, citing chang…","“He was in federal custody awaiting deportation in 2016, but an immigration judge put a halt on his deportation, citing changes in the law.” https://t.co/YXCmdNWZ62",Sat Aug 11 01:41:17 +0000 2018
lindamalden52,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:30:32 +0000 2018
PennH12,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:28:41 +0000 2018
dr_cigar,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:28:20 +0000 2018
Ken_Jennings1,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:26:03 +0000 2018
iamcdnkate,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:25:10 +0000 2018
JoieQ101,"“He was in federal custody awaiting deportation in 2016, but an immigration judge put a halt on his deportation, citing changes in the law.” https://t.co/YXCmdNWZ62",,Sat Aug 11 01:24:46 +0000 2018
RuthRogul,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:23:20 +0000 2018
DanoFretman,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:14:36 +0000 2018
SpotShopMedia,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:14:25 +0000 2018
RightStuff47,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:14:21 +0000 2018
JohnnyJesus,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:11:18 +0000 2018
Blinkinlights,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:08:42 +0000 2018
LiliaNovember,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:04:30 +0000 2018
KolbyRizzo,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 01:01:08 +0000 2018
ron_rsiemens,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:59:25 +0000 2018
LeSlim19,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:53:04 +0000 2018
jdhalevi,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:50:52 +0000 2018
BillHutton16,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:46:16 +0000 2018
DaveNelsonn,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:44:59 +0000 2018
Canuck4466,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:39:26 +0000 2018
MCGAAwakening,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:35:57 +0000 2018
cr100064,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:34:43 +0000 2018
kensteady79,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:33:50 +0000 2018
MartelHammer732,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:32:43 +0000 2018
Nightbird_T,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:32:06 +0000 2018
DeplorableinOnt,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:28:58 +0000 2018
sasky1959,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:28:47 +0000 2018
OttawaPolitico,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:27:48 +0000 2018
Marg123Margaret,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:25:02 +0000 2018
CMuchowski,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:23:58 +0000 2018
iregae1,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:21:33 +0000 2018
LakesPlace,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:20:39 +0000 2018
spatrickbarron,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:16:08 +0000 2018
mpetch,@Conserve_This @RalphGoodale Since the shooter is in custody does it matter if the police delay giving out the name while they try to do their initial investigation or wait until charges are laid? Maybe if the guy was at large it would be different.,,Sat Aug 11 00:09:14 +0000 2018
KingofDaddys,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:06:58 +0000 2018
Sotacor,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:03:38 +0000 2018
goldbuff,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:00:56 +0000 2018
maegan_laporte,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Sat Aug 11 00:00:12 +0000 2018
john_zealand,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:51:17 +0000 2018
rightfluidnow,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:49:27 +0000 2018
TonyJeans6,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:48:38 +0000 2018
kimber_1959,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:47:23 +0000 2018
SergeHalytsky,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:46:23 +0000 2018
mahyuta,RT @Canadians4RGov: The name of the shooter in custody is being withheld from the public just like the Danforth shooting. And the Liberals…,The name of the shooter in custody is being withheld from the public just like the Danforth shooting. And the Liberals say everything is safe and they want to take you guns away. https://t.co/qcByouCbp4,Fri Aug 10 23:45:24 +0000 2018
lizsydney,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:41:01 +0000 2018
palevell,"The shooter is 48 years old and in custody.  No name has been released, yet.

#FrederictonShooting https://t.co/1YcqLifuXU",,Fri Aug 10 23:40:41 +0000 2018
UrFireCracker,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:40:21 +0000 2018
Cnd_friend_USA,"RT @manny_ottawa: Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That…","Do we know the name of the #FrederictonShooting shooter?

I understand he’s in custody. 

I did hear it was a man. 

That’s it. 

#RIP #FrederictonShooting",Fri Aug 10 23:37:58 +0000 2018
