ikodu_boie,@thatboi_on_fire @Klannyposts @GeniusJokerNG Tank yu,,Sun Aug 19 08:16:27 +0000 2018
stuxnetflix,"RT @SeanCPhelan: @UnnecessaryShot @Alex_flood @worldoftanks I am not sure what you are trying to say, but aim bots automatically lock onto…","@UnnecessaryShot @Alex_flood @worldoftanks I am not sure what you are trying to say, but aim bots automatically lock onto your tank AND it's weakest exposed spot. There is a video on YouTube all about it and it shows examples of it in action. There is also an option to have the aim bot automatically fire.",Fri Aug 10 23:22:55 +0000 2018
Lilus_my,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 23:09:54 +0000 2018
ThisDayInWWI,RT @72ndBn: Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; f…,Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; finally managed to stop its fire. This was done through a storm of bullets. #France #Amiens #FirstWorldWar,Fri Aug 10 23:08:25 +0000 2018
SOSGabriola,RT @Destinyshopes: @SOSGabriola @BurnabyFireDept @JustinTrudeau @KinderMorgan There was a fire in the forest above Horseshoe Bay this week.…,"@SOSGabriola @BurnabyFireDept @JustinTrudeau @KinderMorgan There was a fire in the forest above Horseshoe Bay this week. It's still burning - 25% contained. If there was a fire on top of or in the forested park lands of Burnaby mountain, what is the plan to keep it away from the tank farm?",Fri Aug 10 22:51:40 +0000 2018
enesgul_23,"A country that is not afraid of death by lying on the front of the tank and the nation is fighting economic warfare @realDonaldTrump we are one under the ground, playing with fire
Do not ...",,Fri Aug 10 22:50:27 +0000 2018
kambrone64,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:49:41 +0000 2018
ForneverC,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:43:08 +0000 2018
guillaume38000,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:42:57 +0000 2018
Paulnew2325,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:40:46 +0000 2018
checkerhd,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:37:12 +0000 2018
NNovorossia,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:36:08 +0000 2018
SeizeThoseMemes,"RT @MauriceSchleepe: Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened…","Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",Fri Aug 10 22:34:55 +0000 2018
MauriceSchleepe,"Military Commissars tonight the Situation on the frontline in the #Donbass sharply deteriorated,#Ukraine regime opened fire on Multiple localities of #Donetsk,#DPR territory with the use of 82mm &amp; 120mm Caliber mortars,armoured vehicles,anti-Tank Grenade launchers &amp; Heavy MG-fire https://t.co/HOaXTdf9we",,Fri Aug 10 22:33:31 +0000 2018
Tank_Imperial,RT @dog_rates: This is Blaze. She was just given that name after being rescued from a house fire. Has no comment at this time but would lik…,This is Blaze. She was just given that name after being rescued from a house fire. Has no comment at this time but would like you to notice the Mickey Mouse on her nose. 14/10 https://t.co/jzuiV0WL7l,Fri Aug 10 22:28:47 +0000 2018
FHawksworth,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 22:20:29 +0000 2018
beachton,@girlyratfish Around here foresters have ATVs and riding them is called “working.” For prescribed burns they hold the fire gun in one hand and drive along setting a line of fire. A 15 gallon tank of water on the back is for putting out fire that tries to cross the line.,,Fri Aug 10 22:17:28 +0000 2018
AdleNkollo,"RT @souleater237: @anieblackybabe Usher nice and slow
Tank chris brown take my time
H.e.r focus on me
Usher okay
Alicia keys fire we make
T…","@anieblackybabe Usher nice and slow
Tank chris brown take my time
H.e.r focus on me
Usher okay
Alicia keys fire we make
Twinsmatic used to know
Tyrese sweet lady
Aaliyah rock the boat
Rihanna yeah i said it
Trey songz all we do
Trey songz massage
Chris brown r kelly drown in it
Drake take u down",Fri Aug 10 21:50:41 +0000 2018
WarriorReports,"A number of Explosives were thrown at Israeli forces on the Gaza border and a group of Palestinian infiltrated Israel but fled under tank fire

#Gaza #Israel",,Fri Aug 10 21:34:08 +0000 2018
suckapunk,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 21:24:36 +0000 2018
Tank_Blue_Simba,"RT @LeanandCuisine: Niggas really just be getting bass heavy beats, rapping on them joints, and swear it’s fire... it’s the beat the brah,…","Niggas really just be getting bass heavy beats, rapping on them joints, and swear it’s fire... it’s the beat the brah, the beat carrying you",Fri Aug 10 21:15:42 +0000 2018
ontimetraffic11,"RT @RCFireRescue: Diesel tank explodes in welding shop, no injuries and no property damage. RCFR and crews from Almaville VFD responded to…","Diesel tank explodes in welding shop, no injuries and no property damage. RCFR and crews from Almaville VFD responded to a commercial structure fire today on Hwy. 96 - the shop owner put out the fire with several fire extinguishers, responding crews set up fan to dissipate smoke. https://t.co/w9oCwwnL9C",Fri Aug 10 21:09:21 +0000 2018
RCFireRescue,"Diesel tank explodes in welding shop, no injuries and no property damage. RCFR and crews from Almaville VFD responded to a commercial structure fire today on Hwy. 96 - the shop owner put out the fire with several fire extinguishers, responding crews set up fan to dissipate smoke. https://t.co/w9oCwwnL9C",,Fri Aug 10 21:03:12 +0000 2018
Destinyshopes,"@SOSGabriola @BurnabyFireDept @JustinTrudeau @KinderMorgan There was a fire in the forest above Horseshoe Bay this week. It's still burning - 25% contained. If there was a fire on top of or in the forested park lands of Burnaby mountain, what is the plan to keep it away from the tank farm?",,Fri Aug 10 20:51:06 +0000 2018
sarcasticchanel,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 20:20:39 +0000 2018
Fabulous1FF,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:55:23 +0000 2018
Scarlet099,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:52:05 +0000 2018
brodiesovereign,RT @72ndBn: Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; f…,Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; finally managed to stop its fire. This was done through a storm of bullets. #France #Amiens #FirstWorldWar,Fri Aug 10 19:51:44 +0000 2018
SeaforthAssoc,RT @72ndBn: Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; f…,Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; finally managed to stop its fire. This was done through a storm of bullets. #France #Amiens #FirstWorldWar,Fri Aug 10 19:50:27 +0000 2018
seaforth100,RT @72ndBn: Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; f…,Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; finally managed to stop its fire. This was done through a storm of bullets. #France #Amiens #FirstWorldWar,Fri Aug 10 19:49:47 +0000 2018
tampabaybucsfan,"RT @PalestineVideo: Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to…","Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to fire on Palestinian protesters. We'll put up the video when available",Fri Aug 10 19:46:04 +0000 2018
72ndBn,Sgt. Soles immediately put a steel helmet on his bayonet &amp; advanced to the tank for the purpose of attracting its attention &amp; finally managed to stop its fire. This was done through a storm of bullets. #France #Amiens #FirstWorldWar,,Fri Aug 10 19:40:03 +0000 2018
stldesktop,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:38:22 +0000 2018
gastrogeorge,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:37:03 +0000 2018
idea_amp,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:35:32 +0000 2018
amdilley,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:23:29 +0000 2018
bmintonmarshall,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:14:07 +0000 2018
tessdurberville,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 19:07:22 +0000 2018
PalsJustice,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:55:32 +0000 2018
OccupationMovie,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:53:25 +0000 2018
z_zobi,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:37:45 +0000 2018
peacecompassion,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:28:33 +0000 2018
terryturvey,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:23:51 +0000 2018
GayLabourYorkie,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:21:13 +0000 2018
PParzival,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:19:26 +0000 2018
thebiblestrue,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 18:16:11 +0000 2018
TheShipArchitec,"made a cute miniature Tiger tank at whatever floats your boat, made it simple and lightweight so it reaches speeds of 65 on land and 70 in the water, also has a rapid fire gun by stacking multiple old cannon barrels https://t.co/leriWpRWIW",,Fri Aug 10 17:59:59 +0000 2018
Nick_Tank_Fire,@ghostfcecassidy I love the bottle that comes in and boops him on the head. Hahaha,,Fri Aug 10 17:55:40 +0000 2018
WhateverInGaza,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:52:28 +0000 2018
SharonW47160826,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:51:28 +0000 2018
DaliaHatuqa,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:49:32 +0000 2018
jrobert_nl,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:47:23 +0000 2018
shaistasalam1,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:46:54 +0000 2018
eugeneprojectil,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:42:43 +0000 2018
h26434033_h,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:41:39 +0000 2018
CaitlinDunaway1,"You do put your car at great risk of catching on fire if you fill your tank with your car running. 
I can thank my years of working at a gas station and taking safety tests for this knowledge. https://t.co/Wf3sxRqn8a",,Fri Aug 10 17:38:14 +0000 2018
jamie_roc,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:37:15 +0000 2018
june_randeria,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:36:54 +0000 2018
Defender031,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:32:04 +0000 2018
CherryWillis13,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:32:00 +0000 2018
ALIHUSSEINELHEL,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:30:11 +0000 2018
conn7812,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:26:56 +0000 2018
aaaaaaaaaaaronn,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:26:37 +0000 2018
Massinissa1973,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:24:42 +0000 2018
JaredDryden,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:24:01 +0000 2018
DalalDweik,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:23:28 +0000 2018
restructures,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:22:55 +0000 2018
armor1er,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:22:23 +0000 2018
Tav_assoli,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:22:14 +0000 2018
Simon_Vessey,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:22:10 +0000 2018
LookednBooked,"RT @YousefMunayyer: After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is usi…","After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",Fri Aug 10 17:22:08 +0000 2018
YousefMunayyer,"After killing a medic today in Gaza, again, and injuring many more by firing on protesters, the Israeli military is using tank fire. Looks like they are determined to destroy the fragile cease-fire. https://t.co/kdtCaS6XbE",,Fri Aug 10 17:21:15 +0000 2018
JaredRanallo,I’m in the real life hell on earth. This place is a nightmare like I saw a tank on fire the other day. Not mention this place is just horrific during the day with the heat,,Fri Aug 10 16:18:47 +0000 2018
jbarccowboy,"My nephew Tank Fields and his bride Kayla.
So proud of them.
I love seeing young people on fire for The Lord.
Please take the time to watch.
They are coming to the J Bar C soon to share their testimonies.

https://t.co/lPul0tWMWd https://t.co/lPul0tWMWd",,Fri Aug 10 16:18:00 +0000 2018
mikefisher1994,RT @ConflictsW: Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of R…,"Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of Rafiah 
#Israel #Gaza",Fri Aug 10 15:42:03 +0000 2018
YouSeemFine,"RT @ainiladra: at one of the five gathering points, east of khuzaa (khan younis), a zionist tank has opened fire on the demonstrators https…","at one of the five gathering points, east of khuzaa (khan younis), a zionist tank has opened fire on the demonstrators https://t.co/Yb2CQC0dE4",Fri Aug 10 15:28:01 +0000 2018
RAYHALL10,"RT @ainiladra: at one of the five gathering points, east of khuzaa (khan younis), a zionist tank has opened fire on the demonstrators https…","at one of the five gathering points, east of khuzaa (khan younis), a zionist tank has opened fire on the demonstrators https://t.co/Yb2CQC0dE4",Fri Aug 10 15:21:01 +0000 2018
ConservaCrenson,RT @ConflictsW: Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of R…,"Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of Rafiah 
#Israel #Gaza",Fri Aug 10 15:20:14 +0000 2018
EndGameShowWW3,RT @ConflictsW: Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of R…,"Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of Rafiah 
#Israel #Gaza",Fri Aug 10 15:18:25 +0000 2018
MxRevenge1,"RT @PalestineVideo: Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to…","Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to fire on Palestinian protesters. We'll put up the video when available",Fri Aug 10 15:18:09 +0000 2018
ConflictsW,"Palestinian media claims that an IDF tank opened fire on a group of Palestinians that approached the border fence east of Rafiah 
#Israel #Gaza",,Fri Aug 10 15:13:34 +0000 2018
akhull907,"RT @PalestineVideo: Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to…","Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to fire on Palestinian protesters. We'll put up the video when available",Fri Aug 10 15:12:52 +0000 2018
PalestineVideo,"Reports coming in from the March of Return, east Khaza'a (Khan Younis District) say Israel is using a military tank to fire on Palestinian protesters. We'll put up the video when available",,Fri Aug 10 15:11:30 +0000 2018
ainiladra,"at one of the five gathering points, east of khuzaa (khan younis), a zionist tank has opened fire on the demonstrators https://t.co/Yb2CQC0dE4",,Fri Aug 10 15:05:48 +0000 2018
shankulmisra,RT @HemantSirohi1: @IndianOilcl Two staff of contractors had gone inside the tank for cleaning....police and fire fighters have not been ab…,"@IndianOilcl Two staff of contractors had gone inside the tank for cleaning....police and fire fighters have not been able to take them out...it has been about 2 hours now. Now it's serious &amp; clear violation of PESO Form XIV condition 7&amp;8. 
*Disclaimer
As received on #Watsapp https://t.co/l9VdsVSdhV",Fri Aug 10 14:29:28 +0000 2018
Lars9596,"RT @Lars9596: @mektronik @Egypxican @elonmusk @MindFieldMusic @CapitalJon I always think ""What else can my money buy?"" - So why spend US$10…","@mektronik @Egypxican @elonmusk @MindFieldMusic @CapitalJon I always think ""What else can my money buy?"" - So why spend US$100.000 on a #Tesla that will max a distance of 500 km, won't last long, has an expensive crap-battery, cattches fire, when I can get a #car at half the price, lasting 14 years &amp; reaching 1.000 km with one tank?",Fri Aug 10 14:01:32 +0000 2018
