jijujosephm,RT @scroll_in: A look at the headlines right now. https://t.co/e5u5PYRomd,A look at the headlines right now. https://t.co/e5u5PYRomd,Sat Aug 18 16:58:26 +0000 2018
PEI_Stormchaser,11:00am (14z) Heavy rain (+RA). Rainfall storm total 16.6 mms. Cocorahs PE-20 Bonshaw. #PEStorm,,Sat Aug 18 14:08:30 +0000 2018
aileenxo,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:08:28 +0000 2018
atty2thestars,Good lesson with summer thunderstorms. https://t.co/9oQqsCwHC4,,Sat Aug 18 14:08:26 +0000 2018
winter_sheila,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:08:20 +0000 2018
begur31,RT @Weather_AP: Heavy rain spell approaching Guntur-Vijayawada region https://t.co/2zzwtkFYgK,Heavy rain spell approaching Guntur-Vijayawada region https://t.co/2zzwtkFYgK,Sat Aug 18 14:08:12 +0000 2018
jishnucb72,"RT @MalayalamReview: Breaking

Heavy Rain forecast 

Red Alert In 11 Districts Again 

#KeralaFloods","Breaking

Heavy Rain forecast 

Red Alert In 11 Districts Again 

#KeralaFloods",Sat Aug 18 14:08:06 +0000 2018
biancaborja_,"RT @sskaitUlan: [ ✔️ ] Heavy rain
[ ✔️ ] Heavy heart
[ ❌ ] Heavy wallet","[ ✔️ ] Heavy rain
[ ✔️ ] Heavy heart
[ ❌ ] Heavy wallet",Sat Aug 18 14:07:43 +0000 2018
chaitanyacool,Guntur guys heavy rain coming https://t.co/0EnIlLTPL4,,Sat Aug 18 14:07:43 +0000 2018
hannah_miess,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:07:41 +0000 2018
kaalahari07,"RT @CNNnews18: #SOSKerala -- Met department withdraws red alert in eight districts and now it is applicable only in Ernakulam, Idukki and P…","#SOSKerala -- Met department withdraws red alert in eight districts and now it is applicable only in Ernakulam, Idukki and Pathanamthitta where heavy rainfall is predicted. #KeralaFloods

LIVE UPDATES: https://t.co/Lf5GEC5EFC",Sat Aug 18 14:07:38 +0000 2018
sriram_ET,"RT @CNNnews18: #SOSKerala -- Met department withdraws red alert in eight districts and now it is applicable only in Ernakulam, Idukki and P…","#SOSKerala -- Met department withdraws red alert in eight districts and now it is applicable only in Ernakulam, Idukki and Pathanamthitta where heavy rainfall is predicted. #KeralaFloods

LIVE UPDATES: https://t.co/Lf5GEC5EFC",Sat Aug 18 14:07:34 +0000 2018
r_lindsey,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:07:33 +0000 2018
OlgaMol14212119,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:07:25 +0000 2018
CNNnews18,"#SOSKerala -- Met department withdraws red alert in eight districts and now it is applicable only in Ernakulam, Idukki and Pathanamthitta where heavy rainfall is predicted. #KeralaFloods

LIVE UPDATES: https://t.co/Lf5GEC5EFC",,Sat Aug 18 14:07:21 +0000 2018
fn,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 14:07:10 +0000 2018
theijokoveec,"And FRAGRANCE was
FIRE!
Even the heavy rain couldn't stop it!
#tafel #FRAGRANCEwithTAFEL #ijokoveecsposts",,Sat Aug 18 14:06:59 +0000 2018
Srilekha87,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 14:06:58 +0000 2018
chiffonlizard,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:06:57 +0000 2018
IrishMirror,Met Eireann issue fresh Status Yellow rainfall alert as Storm Ernesto to bring 'heavy intense rain' and risk of flooding https://t.co/7xKAjvWntr,,Sat Aug 18 14:06:33 +0000 2018
ImSaiyid,RT @bukhari__sb: @rangats Somnath yatra was cancelled + amarnath yatra was halted due to heavy rain. Just bcs of your bigot hateful mind. I…,@rangats Somnath yatra was cancelled + amarnath yatra was halted due to heavy rain. Just bcs of your bigot hateful mind. Imagine your sins.,Sat Aug 18 14:06:28 +0000 2018
udatube_sub,"RT @udatube: 【実況女子】Udaの「HEAVY RAIN #4」【定期生配信】 

Uda氏のまさかの選択にまさかの展開！お見逃しなく！

落ち着くんだ。
とりあえず酒を飲もう。

サムネはモデのみつはさん作(  ◜௰◝  )

次回は8/19(日)20時～毎回おさ…","【実況女子】Udaの「HEAVY RAIN #4」【定期生配信】 

Uda氏のまさかの選択にまさかの展開！お見逃しなく！

落ち着くんだ。
とりあえず酒を飲もう。

サムネはモデのみつはさん作(  ◜௰◝  )

次回は8/19(日)20時～毎回おさらいから始まるので初見様もお気軽にどうぞ！
https://t.co/MYMbX3Y7Hw https://t.co/yFjNwyymSr",Sat Aug 18 14:06:15 +0000 2018
michelle1129591,"RT @NWS_MountHolly: A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and eve…","A Flash Flood Watch is now in effect for most of eastern PA and NJ, as showers and thunderstorms this afternoon and evening may result in heavy rain and flash flooding. https://t.co/FRwlYTUR3g",Sat Aug 18 14:06:06 +0000 2018
NaveenKarn7,Heavy rain in Ghaziabad.,,Sat Aug 18 14:06:01 +0000 2018
ElizabethAnker1,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 14:05:45 +0000 2018
zenpenguin03,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:05:40 +0000 2018
SankalpPadwal,"RT @thodkyaat: महाराष्ट्रातही पावसाचं थैमान; यवतमाळसह अनेक जिल्ह्यात मुसळधार पाऊस,#म, वाचा थोडक्यात-https://t.co/iWpnZxCt8T","महाराष्ट्रातही पावसाचं थैमान; यवतमाळसह अनेक जिल्ह्यात मुसळधार पाऊस,#म, वाचा थोडक्यात-https://t.co/iWpnZxCt8T",Sat Aug 18 14:05:20 +0000 2018
iembot_aly,"At 8:00 AM EDT, 1 S Coxsackie [Greene Co, NY] TRAINED SPOTTER reports HEAVY RAIN of 1.62 INCH https://t.co/MQVJPPNfwq",,Sat Aug 18 14:05:11 +0000 2018
EatPrayLoot,"@Hurmly Same reason wiensteim kept making movies and CH was allowed to return to that show.  Some of those corporate cultures are very tolerant of it

See also Quantic Dream https://t.co/PM9wzEGFpo",,Sat Aug 18 14:05:07 +0000 2018
Wintersett1,RT @wathingsmecca: Holderness Field looking brilliant but won't last much longer and the forecast of heavy rain here tonight has diminished…,"Holderness Field looking brilliant but won't last much longer and the forecast of heavy rain here tonight has diminished too. A couple of Curlew Sands on Beacon Ponds this afternoon, adults with just a tad of orange left https://t.co/4FKRf1AesF",Sat Aug 18 14:05:00 +0000 2018
PEIslandCanada,RT @Ocean100: Island Wx Sat 11:00: Today: cool. Rain at times heavy with risk of thundershowers. Fog patches developing this afternoon. Amo…,Island Wx Sat 11:00: Today: cool. Rain at times heavy with risk of thundershowers. Fog patches developing this afternoon. Amount 30 to 40 mm. Wind becoming northeast 20 km/h gusting to 40 this afternoon. High 18. UV index 2 or low. #pei,Sat Aug 18 14:04:54 +0000 2018
amber_3727,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:04:25 +0000 2018
CassyVictor,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:04:25 +0000 2018
PasodiMalluS,RT @BYVijayendra: Heavy rain for the last week triggered floods and landslides in several parts of coastal areas of Karnataka majorly daksh…,"Heavy rain for the last week triggered floods and landslides in several parts of coastal areas of Karnataka majorly dakshina kannada and kodagu districts. Let us do a bit to help the victims, your help can rebuild the lives of the affected. stand with karnataka
 #KodaguFloods https://t.co/PxbPapJowC",Sat Aug 18 14:04:11 +0000 2018
thevignesh17,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 14:04:06 +0000 2018
SkiPow7,"RT @NWSAlbany: Showers and storms will continue along a cold front today, but we'll see a drying trend from north to south behind the front…","Showers and storms will continue along a cold front today, but we'll see a drying trend from north to south behind the front. Some of the storms could produce locally heavy rain and gusty winds in the afternoon, especially from the Berkshires to the Catskills and south. https://t.co/afmQVW7PQO",Sat Aug 18 14:04:02 +0000 2018
mar_ce_la0,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:03:50 +0000 2018
AlbinS90318340,RT @S9605377298: Dear @Cristiano.people from kerala are suffering a lot from floods due to heavy rain.there is a huge loss of  20cr already…,"Dear @Cristiano.people from kerala are suffering a lot from floods due to heavy rain.there is a huge loss of  20cr already and is going on.many people are in relief camps.a lot of money is required for overcoming this situation..so i request u for a help...plsss
#StandWithKerala https://t.co/MzTLKXpGYM",Sat Aug 18 14:03:43 +0000 2018
MarshaAMoore,"RT @goodwitch5: Heavy Thunderstorm and Rain Sounds - 8 Hours For Sleep Study &amp; Relaxation
https://t.co/OGsRVG9Mpm","Heavy Thunderstorm and Rain Sounds - 8 Hours For Sleep Study &amp; Relaxation
https://t.co/OGsRVG9Mpm",Sat Aug 18 14:03:31 +0000 2018
sunnymurkyday,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:03:23 +0000 2018
citrusade,"RT @phillywx: Expect PM showers/storms to develop, some could produce heavy rain. Sunday, still up in the air. Feel pretty confident south…","Expect PM showers/storms to develop, some could produce heavy rain. Sunday, still up in the air. Feel pretty confident south of town will get some rain. City north may escape with some widely scattered showers. Low pressure has trended a bit further south past 24hrs, we will see. https://t.co/WhGbivxckB",Sat Aug 18 14:03:20 +0000 2018
Aamir_Vijay_MB,"RT @MalayalamReview: Breaking

Heavy Rain forecast 

Red Alert In 11 Districts Again 

#KeralaFloods","Breaking

Heavy Rain forecast 

Red Alert In 11 Districts Again 

#KeralaFloods",Sat Aug 18 14:03:01 +0000 2018
MidAWaterproof,"#Homeowner #tip: After heavy #rain, take a moment to check ✅ your basement &amp; crawl space for leaks or dampness. Need help? Call Us at  (855) 433-5842 or sign up for a free inspection here https://t.co/xnGkFhtHUe",,Sat Aug 18 14:03:01 +0000 2018
ka2wye,RT @NWSBUFFALO: Northwest winds over Lake Ontario have met southwest winds over Lake Erie. The result is a narrow band of heavy rain at mid…,"Northwest winds over Lake Ontario have met southwest winds over Lake Erie. The result is a narrow band of heavy rain at midnight, extending from near the city of #Buffalo to Sloan, Lancaster and towards Batavia. Quick 1"" of rain is possible with ponding water in low lying spots. https://t.co/QeCllS762Z",Sat Aug 18 14:02:59 +0000 2018
DaraSquires,"RT @HeaneyDaily: Late August, given heavy rain and sun
For a full week, the blackberries would ripen.
At first, just one, a glossy purple c…","Late August, given heavy rain and sun
For a full week, the blackberries would ripen.
At first, just one, a glossy purple clot. . .
Like thickened wine: summer’s blood was in it",Sat Aug 18 14:02:54 +0000 2018
TorontoOEM,RT @311Toronto: Heavy rain can cause a mix of wastewater &amp; stormwater from #CityofTO combined sewers to overflow into the Lake. Learn more:…,Heavy rain can cause a mix of wastewater &amp; stormwater from #CityofTO combined sewers to overflow into the Lake. Learn more: https://t.co/qUIHNZQ74v,Sat Aug 18 14:02:52 +0000 2018
obeyvickiii,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:02:50 +0000 2018
ImagesOsborne,"RT @metoffice: The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in plac…","The remnants of Tropical Storm #Ernesto will bring strong #winds through the Irish Sea tonight, and some heavy #rain in places too https://t.co/UzvshF7lTb",Sat Aug 18 14:02:48 +0000 2018
ravishrey,RT @narendrkumar79: This is what happens to the rivers when the forests are cut https://t.co/lpWVFyhG5S you know why all the rivers are ove…,This is what happens to the rivers when the forests are cut https://t.co/lpWVFyhG5S you know why all the rivers are overflowing. It not the heavy rain that is the sole reason. Nice and simple video on ecology. #waterfall #coastal #soil #oceans #SundayMotivation https://t.co/H83TpZkCEs,Sat Aug 18 14:02:45 +0000 2018
Abugates,RT @praddy06: Kerala Rainfall Update  - Intensity has come down but rains will continue in patches with heavy spell at times.  Rains will d…,"Kerala Rainfall Update  - Intensity has come down but rains will continue in patches with heavy spell at times.  Rains will drastically to reduce after 19th August.
============
Rain intensity has come down a... https://t.co/9ELD2Prbn4",Sat Aug 18 14:02:45 +0000 2018
dontpanicphedre,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:02:40 +0000 2018
thodkyaat,"महाराष्ट्रातही पावसाचं थैमान; यवतमाळसह अनेक जिल्ह्यात मुसळधार पाऊस,#म, वाचा थोडक्यात-https://t.co/iWpnZxCt8T",,Sat Aug 18 14:02:33 +0000 2018
cheskatan_,my aunt lives in makati and went to malate and got wet bc of the heavy rain just to buy me an album. tHAT IS LOVE 💗,,Sat Aug 18 14:02:05 +0000 2018
Killoa925,"Never forget qu'en 2011 à la Télévision, Game One diffusait le jeu interactif Heavy Rain en tant que ''série télévisée''",,Sat Aug 18 14:01:53 +0000 2018
murali_dharana,RT @manoramanews: പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്…,പതിനാല് ഇടങ്ങളിൽ മണ്ണ് ഇടിഞ്ഞും ഉരുൾപൊട്ടിയും കിടക്കുകയാണ്. സന്നദ്ധപ്രവർത്തകർ 30 കിലോമീറ്ററോളം കാൽനടയായി അവിടേക്ക് തിരിച്ചിട്ടുണ്ട് #KeralaFloods #FloodNewsKerala #Nelliyampathy https://t.co/RzkhlxaMnx,Sat Aug 18 14:01:43 +0000 2018
Meteorite58,Moderate / heavy rain approaching the W' NW now. https://t.co/xFLYjMIMWC,,Sat Aug 18 14:01:37 +0000 2018
beckyeggers,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:01:33 +0000 2018
GWNWeather,"An approaching cold front will trigger numerous showers and thunderstorms this afternoon and evening. A few storms may be strong to severe with a primary threat from downburst winds. In addition, locally heavy rain may result in flash flooding of poor drainage areas. https://t.co/ZyoqDXB9Rd",,Sat Aug 18 14:01:08 +0000 2018
kellymbutt,"11:20am #NLwx radar: A few showers over central &amp; western Nfld and the Northern Peninsula. 

Moderate to heavy rain has arrived on the southwest coast. This moves east through the day, reaching eastern Newfoundland tonight. 

#nltraffic https://t.co/IXJxGofN0b",,Sat Aug 18 14:01:07 +0000 2018
Arunkum83041611,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 14:00:59 +0000 2018
JamieQuirk13,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 14:00:53 +0000 2018
goodwitch5,"Heavy Thunderstorm and Rain Sounds - 8 Hours For Sleep Study &amp; Relaxation
https://t.co/OGsRVG9Mpm",,Sat Aug 18 14:00:38 +0000 2018
Bosquesdearagon,Hoy tendremos en #BosquesDeAragon una temperatura Máxima de 24ºC y baja 13ºC https://t.co/G2S47RvqHW,,Sat Aug 18 14:00:27 +0000 2018
carlosbeto19741,RT @weatherchannel: Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92…,Typhoon #Soulik will track toward southwestern Japan next week with heavy rain and strong winds: https://t.co/NXCCo7i92u https://t.co/aEn3Kr7GvS,Sat Aug 18 14:00:20 +0000 2018
LiveRaceResults,"RT @Wincvaspeedway: Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18","Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18",Sat Aug 18 14:00:14 +0000 2018
GerogeDavid4,"Heavy rain in more areas in Kerala
Heartbreaking...😔pray for Kerala people🙏 #Kerala #KeralaRains https://t.co/T3VudRMgU0",,Sat Aug 18 14:00:11 +0000 2018
gunturspice,RT @Weather_AP: Heavy rain spell approaching Guntur-Vijayawada region https://t.co/2zzwtkFYgK,Heavy rain spell approaching Guntur-Vijayawada region https://t.co/2zzwtkFYgK,Sat Aug 18 13:59:37 +0000 2018
doctorkini,@shakkuiyer Femisnit won't get into field since it's heavy rain and their make - up (mask) Wil be wiped!!!,,Sat Aug 18 13:59:21 +0000 2018
twellons17,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:58:51 +0000 2018
ktouktou,@PafVFP J'approuve tout (sans connaître heavy rain),,Sat Aug 18 13:58:46 +0000 2018
cesscamacho_,"RT @sskaitUlan: [ ✔️ ] Heavy rain
[ ✔️ ] Heavy heart
[ ❌ ] Heavy wallet","[ ✔️ ] Heavy rain
[ ✔️ ] Heavy heart
[ ❌ ] Heavy wallet",Sat Aug 18 13:58:22 +0000 2018
Ocean100,Island Wx Sat 11:00: Today: cool. Rain at times heavy with risk of thundershowers. Fog patches developing this afternoon. Amount 30 to 40 mm. Wind becoming northeast 20 km/h gusting to 40 this afternoon. High 18. UV index 2 or low. #pei,,Sat Aug 18 13:58:15 +0000 2018
AparnaChinnu,"RT @m_e_n_o_n: RED ALERT to KERALA except for TRIVANDRUM, KOLLAM &amp; KAZARKODE....

Stay SAFE... 
#KeralaFloods 
ITS GONNA RAIN HEAVY... BE S…","RED ALERT to KERALA except for TRIVANDRUM, KOLLAM &amp; KAZARKODE....

Stay SAFE... 
#KeralaFloods 
ITS GONNA RAIN HEAVY... BE SAFE!!! https://t.co/dff3iCj8Hk",Sat Aug 18 13:57:51 +0000 2018
BeccaLemire,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:57:36 +0000 2018
shashankS3007,#TamilNadu: Deputy Chief Minister O. Panneerselvam visits Elachipalayam bridge area in Theni district where road was washed away following heavy rain in the region. https://t.co/x18pczLzkP,,Sat Aug 18 13:57:27 +0000 2018
LOVELYS73277890,"RT @SarkarFilm: Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala…","Red Alert in 11 Districts Again (Except Thiruvananthapuram, Kollam &amp; Kasaragod). Chances of Heavy Rain !! Stay Safe Kerala !!🙏
#PrayForKerala #KeralaFloods",Sat Aug 18 13:57:25 +0000 2018
KE5WLM,"RT @NWSAlbuquerque: The SPC has upgraded the northeast corner of NM, including Clayton and Raton, to a slight risk of severe thunderstorms…","The SPC has upgraded the northeast corner of NM, including Clayton and Raton, to a slight risk of severe thunderstorms today. Main threats will be large hail, damaging winds, lightning, and heavy rain. #nmwx https://t.co/85rNhsQfEI",Sat Aug 18 13:57:13 +0000 2018
Weather_AP,Heavy rain spell approaching Guntur-Vijayawada region https://t.co/2zzwtkFYgK,,Sat Aug 18 13:57:08 +0000 2018
d18d3398455f42c,"RT @Wincvaspeedway: Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18","Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18",Sat Aug 18 13:57:02 +0000 2018
KE5WLM,RT @NWSMidland: More hot conditions and thunderstorms this afternoon. Gusty winds and brief heavy rain are possible. #txwx #nmwx https://t.…,More hot conditions and thunderstorms this afternoon. Gusty winds and brief heavy rain are possible. #txwx #nmwx https://t.co/s5yNpcd8YE,Sat Aug 18 13:56:54 +0000 2018
PafVFP,"Les VFs :
Je déteste : South Park L'Annale du Destin
Sur-côté : Heavy Rain
Sous-côté : Brooklyn 99
J’adore : Portal 2
J’aime en secret : Le Dernier Pub Avant La Fin Du Monde
G.O.A.T. : Gurren Lagann",,Sat Aug 18 13:56:39 +0000 2018
wf_porthawksbry,Sat 11:00: Today: Mainly cloudy. 60% chance of showers early this afternoon. Rain at times heavy beginning this afternoon. Fog patches developing this afternoon. Amount 10 to 20 mm. Wind becoming southeast 20 km/h this afternoon. High 21. Humidex 25. UV index 5 or moderate.,,Sat Aug 18 13:56:36 +0000 2018
ehatt493,RT @wxornotBG: The bad news is more rain chances. The good news is that it’s isolated storm chances rather than widespread heavy rain. No t…,"The bad news is more rain chances. The good news is that it’s isolated storm chances rather than widespread heavy rain. No that...that’s for Monday.

Details: https://t.co/f7S2on4z6x",Sat Aug 18 13:56:29 +0000 2018
MikeC1163,RT @Carlow_Co_Co: Weather Advisory issued for #Carlow | Rain moving eastwards across Ireland this evening and tonight will give heavy / int…,"Weather Advisory issued for #Carlow | Rain moving eastwards across Ireland this evening and tonight will give heavy / intense bursts of rainfall in places for short periods with a risk of spot flooding. 
Valid from 18:00 hours Sat, 18-Aug @MetEire_Warning @MapAlerter https://t.co/TE7X2oLnA8",Sat Aug 18 13:56:25 +0000 2018
NOfNews_Ireland,"Weather forecast Ireland: Today will be warm and humid with highs of 25C - but Met Eireann say Storm Ernesto will bring 'heavy rain' later Storm Ernesto will bring both rain and higher temperatures
 https://t.co/6qU6NWXelM",,Sat Aug 18 13:56:21 +0000 2018
racheylauren,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:56:03 +0000 2018
reallyafreen,"walked in the rain today for more than an hour altogether, walked to the mall, ate, drank, finding stuff to buy for an HR,  walked in the heavy rain again with strong wind, took the lrt, went to school, did work,  ate,  ran to grandmas hse w/ friend went back to school...",,Sat Aug 18 13:56:02 +0000 2018
LgGibby,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:55:56 +0000 2018
ebeye_yie,"RT @SoffiyahElijah: Last night, dozens of family members carrying heavy care packages waited in the rain to board buses to visit their impr…","Last night, dozens of family members carrying heavy care packages waited in the rain to board buses to visit their imprisoned loved ones. While waiting, we talked about the importance of voting and human rights abuses by guards. They have the power to change the system! #afjny https://t.co/V2KQjVmyP4",Sat Aug 18 13:55:54 +0000 2018
bluekohlapuris,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:55:36 +0000 2018
sajjadpkl,"RT @sajjadpkl: @GST_Council @askGSTech @gstindia @InGSTPortal @askGST_gol @info_gst Due to heavy rain and flood in Kerala,We can not open o…","@GST_Council @askGSTech @gstindia @InGSTPortal @askGST_gol @info_gst Due to heavy rain and flood in Kerala,We can not open our companies and consulting https://t.co/UWYW0MymYg please postpone the date of filing GSTR 3B  or avoid late fee for us. https://t.co/lXCilmvNGk",Sat Aug 18 13:55:17 +0000 2018
RandallAffleck,RT @PEI_Stormchaser: Heavy rain set to move across the island.. https://t.co/trEw9X2qZ7,Heavy rain set to move across the island.. https://t.co/trEw9X2qZ7,Sat Aug 18 13:55:14 +0000 2018
okwxAdam,RT @NWSNorman: Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. Howeve…,"Widely scattered thunderstorms are possible this morning and afternoon across western Oklahoma &amp; western north Texas. However, much better rain chances arrive this evening and overnight.  Locally heavy rainfall is possible. #okwx #txwx https://t.co/RNTzieY0CN",Sat Aug 18 13:55:12 +0000 2018
chrisyates41,"RT @Wincvaspeedway: Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18","Due to heavy rain that has moved into the area, we are forced to cancel tonight’s events 8/18/18",Sat Aug 18 13:54:58 +0000 2018
NguyenThanhTug,Met Office forecasts strong wind and heavy rain in places - Daily Mail: https://t.co/IWEpnB5hgh qua @YouTube,,Sat Aug 18 13:54:56 +0000 2018
MarrielleG08,"Me: There’s going to be a storm tonight.

Dad: wala naman.

*thunder and heavy rain starts*

Me: told you.",,Sat Aug 18 13:54:49 +0000 2018
Shivang54610634,"RT @m_e_n_o_n: RED ALERT to KERALA except for TRIVANDRUM, KOLLAM &amp; KAZARKODE....

Stay SAFE... 
#KeralaFloods 
ITS GONNA RAIN HEAVY... BE S…","RED ALERT to KERALA except for TRIVANDRUM, KOLLAM &amp; KAZARKODE....

Stay SAFE... 
#KeralaFloods 
ITS GONNA RAIN HEAVY... BE SAFE!!! https://t.co/dff3iCj8Hk",Sat Aug 18 13:54:49 +0000 2018
deepa1710,"RT @WIONews: The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said…","The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods

https://t.co/NOTLcfqkIT",Sat Aug 18 13:54:42 +0000 2018
wf_truro,Sat 11:00: Today: Rain at times heavy with thundershowers. Fog patches. Amount 20 to 30 mm. Wind south 20 km/h becoming light this afternoon. High 22. Humidex 30. UV index 2 or low.,,Sat Aug 18 13:54:39 +0000 2018
wf_newglasgow,Sat 11:00: Today: Cloudy. 60% chance of showers early this afternoon. Rain at times heavy beginning this afternoon. Fog patches developing this afternoon. Amount 10 to 20 mm. Wind south 20 km/h except gusting to 40 along parts of the coast. High 21. Humidex 28. UV: 5 moderate.,,Sat Aug 18 13:54:38 +0000 2018
wf_greenwood,Sat 11:00: Today: Rain at times heavy with thundershowers. Fog patches. Amount 20 to 30 mm. Wind south 20 km/h becoming light this afternoon. High 22. Humidex 30. UV index 2 or low.,,Sat Aug 18 13:54:38 +0000 2018
wf_amherst,Sat 11:00: Today: cool. Rain at times heavy with risk of thundershowers. Fog patches. Amount 40 mm. Wind becoming northeast 20 km/h gusting to 40 this afternoon. High 20. Humidex 25. UV index 2 or low.,,Sat Aug 18 13:54:37 +0000 2018
wf_sydney,Sat 11:00: Today: Mainly cloudy. 60% chance of showers early this afternoon. Rain at times heavy beginning this afternoon. Fog patches developing this afternoon. Amount 10 to 20 mm. Wind becoming southeast 20 km/h this afternoon. High 21. Humidex 25. UV index 5 or moderate.,,Sat Aug 18 13:54:36 +0000 2018
wf_antigonish,Sat 11:00: Today: Cloudy. 60% chance of showers early this afternoon. Rain at times heavy beginning this afternoon. Fog patches developing this afternoon. Amount 10 to 20 mm. Wind south 20 km/h except gusting to 40 along parts of the coast. High 21. Humidex 28. UV: 5 moderate.,,Sat Aug 18 13:54:35 +0000 2018
halfbreed_15,RT @monicaheisey: no offence to sex but: napping during heavy rain,no offence to sex but: napping during heavy rain,Sat Aug 18 13:54:35 +0000 2018
