_deefanning,Anyone else having service interruption @rte #GALvLIM,,Sun Aug 19 14:50:14 +0000 2018
a2hosting_alert,New Issue (mi3-mw1): MI3-MW1  :: Service Interruption,,Mon Aug 13 22:31:40 +0000 2018
shankariitk,"@BSNL_UPE BSNL officials (SDO name -Atul Gupta) reply on interruption of BSNL broadband in Phulpur Allahabad, "" We can not assure when bsnl service will resume"". Is this kind of answer people expecting from @BSNLCorporate. Very bad service @BSNLCorporate @bsnlupe",,Mon Aug 13 22:09:00 +0000 2018
Laker_PatHealey,"RT @EastHantsNS: On Tuesday, August 14th, East Hants Water Utility customers within the area highlighted will experience a water service in…","On Tuesday, August 14th, East Hants Water Utility customers within the area highlighted will experience a water service interruption between 10:00 am and 2:00 pm. Residents should store water for use and, as a precautionary measure, turn off their hot water tank. https://t.co/rYM8d8BvGG",Mon Aug 13 21:37:58 +0000 2018
Ask_Spectrum,"@eemi0320 My apologies for the interruption in your service Emma. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Mon Aug 13 21:36:42 +0000 2018
abethae86,@PNR_GovPH may service interruption po today?,,Mon Aug 13 21:16:58 +0000 2018
comcastcares,"@dale_deboer Hey, thank you for reaching out about the service interruption. I can check for an updated ETA; can you please DM your name, the name on the acct (if different), and the acct or ph#? -GT",,Mon Aug 13 21:04:50 +0000 2018
Ask_Spectrum,"@LillyK28 My apologies for the interruption in your service Lilly. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Mon Aug 13 20:47:24 +0000 2018
WaterUtilityMgt,#IsleofWight There is an emergency service interruption in you area while technicians make repairs at the well site. Please check back for updates!,,Mon Aug 13 20:42:52 +0000 2018
Ms_Matz,"@maynilad no water service interruption advisory in Sampaloc, Manila? From 9pm up to now (4:20am) wala pa din kaming tubig.",,Mon Aug 13 20:25:22 +0000 2018
Ask_Spectrum,"@miller_adaml My apologies for the interruption in your service Adam. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Mon Aug 13 20:18:59 +0000 2018
Ask_Spectrum,"@SirKVonDee My apologies for the interruption in your service. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",,Mon Aug 13 20:09:40 +0000 2018
comcastcares,"@CrimsonshadeHSS Thank your for reaching out to us. I see that you are inquiring about a possible service interruption. I would be more than happy to look into this for you. Can you please DM me with your first and last name, and the phone number associated with the account? -DB",,Mon Aug 13 20:01:21 +0000 2018
Crux_Nasty,@Suddenlink any word on the service interruption in bullhead city? It’s been going for roughly 13-15 hours,,Mon Aug 13 19:47:56 +0000 2018
comcastcares,@trpcls Thank you for reaching out today. I'd be happy to assist with any updates on the service interruption. Can you please send a DM with your full name and phone number associated to your account? - AR,,Mon Aug 13 19:38:11 +0000 2018
ATTCares,"@nydiateter Hello Nydia. Thank you for reaching out. Currently, we don’t have any report of service interruption in the area. You can troubleshoot your services following this link: https://t.co/blouS5jVAH ^RoseG",,Mon Aug 13 19:27:16 +0000 2018
maynilad,"@Reeya06241 Paumanhin sa abala, Reeya0624. Ang water service interruption na inyong nararanasan ay dahil sa pagtaas ng turbidity sa",,Mon Aug 13 19:21:15 +0000 2018
HellfireMassy,RT @glendoherpark: Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. I…,Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. Is there anywhere in Ireland @Shane_RossTD that has bus service interruption for 272 days - plse meet wth local residents Minister &amp; listen to the impact of this https://t.co/gY9cTgvTvC,Mon Aug 13 19:20:56 +0000 2018
MassyFriends,RT @glendoherpark: Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. I…,Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. Is there anywhere in Ireland @Shane_RossTD that has bus service interruption for 272 days - plse meet wth local residents Minister &amp; listen to the impact of this https://t.co/gY9cTgvTvC,Mon Aug 13 19:15:28 +0000 2018
maynilad,"@EriuAine Paumanhin sa abala, EriuAine. Ang water service interruption na inyong nararanasan ay dahil sa",,Mon Aug 13 19:13:48 +0000 2018
maynilad,"@celalmo Paumanhin sa abala, Selyado. Ang water service interruption na inyong nararanasan ay dahil sa pagtaas ng turbidity sa raw water na",,Mon Aug 13 19:10:24 +0000 2018
PHCivic,"Notice from the Town of Port Hawkesbury

The Town of Port Hawkesbury would like to inform water utility customers of a planned water service interruption scheduled for Tuesday, August 14th between the hours... https://t.co/4gqHdnwlLY",,Mon Aug 13 18:49:52 +0000 2018
maynilad,"@celalmo Paumanhin sa abala, Selyado. Ang water service interruption na inyong nararanasan ay dahil sa pagtaas ng turbidity sa raw water na",,Mon Aug 13 18:38:02 +0000 2018
CTS_Infostrafic,"Du 6 au 17 août inclus, travaux #TRAM ligne B, interruption entre Wacken et Hoenheim Gare. Des bus de remplacement sont en place pour assurer la continuité du service. Vous trouverez toutes les infos ici : https://t.co/ITckrYkV9h",,Mon Aug 13 18:30:16 +0000 2018
maynilad,"@Marbs84 Paumanhin sa abala, Maribel. Ang water service interruption na inyong nararanasan ay dahil sa pagtaas ng turbidity sa raw water na",,Mon Aug 13 18:27:25 +0000 2018
maynilad,"@bookOfLegends Paumanhin sa abala, GoUltron. Ang water service interruption na inyong nararanasan ay dahil sa pagtaas ng turbidity",,Mon Aug 13 18:08:00 +0000 2018
TexasBroadband,"A brief service interruption occurred for Bellville, Cat Spring, and Sealy service areas. All services are now running as normal. Some customers may need to power cycle. Contact 888-868-3835 for support.",,Mon Aug 13 18:05:45 +0000 2018
jozi117,"RT @CityofJoburgZA: #JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ h…","#JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ https://t.co/qDIAVabJWm",Mon Aug 13 17:57:29 +0000 2018
maynilad,@iamjuleshung Hi julsiewoolsie. There is no scheduled water service interruption in our record for tomorrow in your area. Thank you.,,Mon Aug 13 17:51:08 +0000 2018
carpin974,"RT @ChartresTrafic: ⚠️Le 19/08 travaux de remise en service du poste de signalisation de St-Cyr

Interruption totale de circulation. Aucun…","⚠️Le 19/08 travaux de remise en service du poste de signalisation de St-Cyr

Interruption totale de circulation. Aucun train entre Paris-Montparnasse et Rambouillet de 00h et 13h

Le plan de transport sera disponible le 14 août à 17h

Merci de reporter votre voyage",Mon Aug 13 17:46:50 +0000 2018
Ask_Spectrum,@bankywanky I would be happy to look into the service interruption. Can you please DM your account number as well as the service address? ^SS,,Mon Aug 13 17:37:50 +0000 2018
maynilad,"@Pilosopinoy Hi Pilosopinoy🇵🇭. Ang water service interruption ay inaasahang matatapos ng 4:00 am August 14, 2018. Salamat.",,Mon Aug 13 17:28:00 +0000 2018
smtmhansol,"Emma and I just spent a half hour waiting for the bus when there was a service interruption sign she didn't even read ................ 
#emmaly2k18 https://t.co/LGN3wNlB3O",,Mon Aug 13 16:52:18 +0000 2018
CoJPublicSafety,"RT @CityofJoburgZA: #JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ h…","#JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ https://t.co/qDIAVabJWm",Mon Aug 13 16:39:57 +0000 2018
Navient,"@CocoaWasted_ Thanks for reaching out. We had a slight interruption in service. If you have not done so already, please try clearing your browser’s cache. You can also try these troubleshooting steps here: https://t.co/UFTY78SQ1x. Thanks, Nick",,Mon Aug 13 16:19:00 +0000 2018
nardone_todd,Welcome to Todd Nardone's weather has been updated to bring you the most Anchorage weather news. Two times faster then last week over the weekend i switched Systems of weather news delivery systems. So if there was a service interruption on Todd Nardone's weather Facebook . Page.,,Mon Aug 13 16:08:28 +0000 2018
RogersHelps,"@MASahin6 Thanks for reaching out to us Kewell. Data issues are never fun in today's connected world, especially when relying on it for work. My sincerest apologies for the interruption with your service, we would love to have a look to ensure service is back up and running properly.",,Mon Aug 13 15:53:02 +0000 2018
Crux_Nasty,@Suddenlink Whats with this service interruption is there an ETA? Its been like 12 hours. Will we be reimbursed for our loss of service?,,Mon Aug 13 15:49:32 +0000 2018
5GXInternet,"Good morning! You may be experiencing a temporary service interruption.  Our technicians are working urgently to resolve the issue. 
Thank you for your patience.",,Mon Aug 13 15:47:56 +0000 2018
CityofMarcoISL,MONDAY 8.13.18 - WATER SERVICE INTERRUPTION - AREA 566 EDEN CT - PRECAUTIONARY BOIL WATER IN EFFECT UNTIL NOTIFIED https://t.co/V6NLXkT1qw,,Mon Aug 13 15:47:54 +0000 2018
mainecalsas,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Mon Aug 13 14:54:28 +0000 2018
Stihlfs280,"RT @CityofJoburgZA: #JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ h…","#JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ https://t.co/qDIAVabJWm",Mon Aug 13 14:50:04 +0000 2018
_silaancyy,tangina bat may water service interruption,,Mon Aug 13 14:35:36 +0000 2018
Hazey_LBM420,"RT @CityofJoburgZA: #JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ h…","#JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ https://t.co/qDIAVabJWm",Mon Aug 13 14:31:46 +0000 2018
starfire,"RT @CityofJoburgZA: #JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ h…","#JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ https://t.co/qDIAVabJWm",Mon Aug 13 14:21:02 +0000 2018
KnysnaMuni,"REMINDER 
NOTICE: WATER SERVICE INTERRUPTION - NORTHERN AREAS https://t.co/IBXBoHP1mn",,Mon Aug 13 14:16:01 +0000 2018
lucianosmori,"@SpotifyCares Is there any interruption in the service? 
There are several ""@Spotify is unavailable right now"" on Android 7 version",,Mon Aug 13 14:15:40 +0000 2018
CityofJoburgZA,"#JoburgUpdates

Please take note of the following service delivery interruption announcement from @CleanerJoburg 👇^GZ https://t.co/qDIAVabJWm",,Mon Aug 13 14:14:27 +0000 2018
gitlabstatus,"“We are will be undergoing maintenance to deal with the recent site slowness, there may be some service interruption or errors as we resize storage nodes. We apologize for any inconvenience.” https://t.co/FRkUs3EQOU",,Mon Aug 13 13:48:19 +0000 2018
chasebankkenya,"@Geophm Should this be in regards to the service interruption, please note that all Mfukoni and Card services will be restored on the 20th of August 2018. Kindly bear with us.^SN",,Mon Aug 13 13:21:21 +0000 2018
jessamaca123,"RT @EastHantsNS: On Tuesday, August 14th, East Hants Water Utility customers within the area highlighted will experience a water service in…","On Tuesday, August 14th, East Hants Water Utility customers within the area highlighted will experience a water service interruption between 10:00 am and 2:00 pm. Residents should store water for use and, as a precautionary measure, turn off their hot water tank. https://t.co/rYM8d8BvGG",Mon Aug 13 13:07:35 +0000 2018
EastHantsNS,"On Tuesday, August 14th, East Hants Water Utility customers within the area highlighted will experience a water service interruption between 10:00 am and 2:00 pm. Residents should store water for use and, as a precautionary measure, turn off their hot water tank. https://t.co/rYM8d8BvGG",,Mon Aug 13 12:30:34 +0000 2018
SISalp,"Bon, clairement le support OVH sèche pour remédier au défaut qui a créé une interruption de service de serveurs de SISalp le 5 août. Je vais abandonner le serveur impliqué et fermer le ticket.",,Mon Aug 13 12:24:28 +0000 2018
aqua_gib,13 August 2018 - Service Availability Information - Salt Water Interruption Tomorrow https://t.co/oE9iBYkQBZ,,Mon Aug 13 11:28:23 +0000 2018
LainerC,RT @glendoherpark: Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. I…,Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. Is there anywhere in Ireland @Shane_RossTD that has bus service interruption for 272 days - plse meet wth local residents Minister &amp; listen to the impact of this https://t.co/gY9cTgvTvC,Mon Aug 13 11:12:30 +0000 2018
cathyemurray1,RT @glendoherpark: Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. I…,Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. Is there anywhere in Ireland @Shane_RossTD that has bus service interruption for 272 days - plse meet wth local residents Minister &amp; listen to the impact of this https://t.co/gY9cTgvTvC,Mon Aug 13 11:04:23 +0000 2018
Ask_Spectrum,"@SpankYouSilly I do not see any documented information confirming a service interruption in your area affecting internet. I seem multiple instances on which you had reporting an intermittent connection to the internet, however, there have been no appointments schedul... https://t.co/WjF4jhSEsg",,Mon Aug 13 10:52:02 +0000 2018
Ask_Spectrum,@LeekLaflare_ Hi. I can look into the service interruption. Please follow/DM your account number as well as the service address. ^SS,,Mon Aug 13 10:41:17 +0000 2018
Ask_Spectrum,@CncrndConsumer Good Morning! I can look into the service interruption. Please follow/DM your account number as well as the service address. ^SS,,Mon Aug 13 10:40:32 +0000 2018
comcastcares,"@MichaelMuni I can definitely understand why an unplanned service interruption like this would be frustrating for you. If you could DM the name on the account and the phone number linked to the account, I will check to see what is going on there. -BLS",,Mon Aug 13 10:21:26 +0000 2018
DedimaxCom,"🛠️ #VPS Le cluster box27 subit une latence élevée, une intervention est programmée à 12h00 ce jour. Pas d'interruption de service prévue.",,Mon Aug 13 09:50:13 +0000 2018
reopentheroad,RT @glendoherpark: Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. I…,Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. Is there anywhere in Ireland @Shane_RossTD that has bus service interruption for 272 days - plse meet wth local residents Minister &amp; listen to the impact of this https://t.co/gY9cTgvTvC,Mon Aug 13 09:46:47 +0000 2018
glendoherpark,Actually if you could do this @dublinbusnews as local residents are having a miserable time - it would be appreciated. Is there anywhere in Ireland @Shane_RossTD that has bus service interruption for 272 days - plse meet wth local residents Minister &amp; listen to the impact of this https://t.co/gY9cTgvTvC,,Mon Aug 13 09:43:06 +0000 2018
indeybadudey,Yes cancelled yung water service interruption. Makakaligo ako maya. 🤪,,Mon Aug 13 09:31:41 +0000 2018
ahmedviking,@EtisalatMisr And i told u ( if u understand english ) this is not compensation .. this is simply what i paid and u r refunding it ( that’s my right ) .. i need compensation of service interruption “for hours “!!! And time wasted with your useless CS @Etisalat_Care @VodafoneEgypt  @orange,,Mon Aug 13 09:31:01 +0000 2018
ARousseau29,"RT @france3Bretagne: Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgF…","Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgFR6VC30",Mon Aug 13 09:11:14 +0000 2018
siel_bretagne,"RT @france3Bretagne: Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgF…","Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgFR6VC30",Mon Aug 13 09:10:13 +0000 2018
SIEL29_,"RT @france3Bretagne: Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgF…","Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgFR6VC30",Mon Aug 13 09:09:08 +0000 2018
FranAvril29,"RT @france3Bretagne: Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgF…","Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgFR6VC30",Mon Aug 13 09:02:54 +0000 2018
france3Bretagne,"Brest : ce lundi 13 août, interruption temporaire du service du téléphérique https://t.co/KFo6GvvXrw https://t.co/8FgFR6VC30",,Mon Aug 13 09:00:01 +0000 2018
Groupe_Factoria,"Comme tous les étés, 🌞  Le Groupe Factoria sera ouvert sans interruption et maintient son niveau de service maximum !
Nos équipes restent mobilisées à votre service. 😎 
#Factoria #GroupeFactoria https://t.co/2wB07BcwPc",,Mon Aug 13 08:47:00 +0000 2018
FarahKhaleck,"RT @Zuku_WeCare: @FarahKhaleck Hello Farah, we are experiencing service interruption in your area due to a power failure on Fiber line serv…","@FarahKhaleck Hello Farah, we are experiencing service interruption in your area due to a power failure on Fiber line serving you. Power team is on ground working to normalize service. *MN",Mon Aug 13 08:17:37 +0000 2018
Zuku_WeCare,"@FarahKhaleck Hello Farah, we are experiencing service interruption in your area due to a power failure on Fiber line serving you. Power team is on ground working to normalize service. *MN",,Mon Aug 13 08:06:46 +0000 2018
jacquep,"We apologise for this interruption.
Normal service will resume when I am back in the UK. https://t.co/bja4vC4mnR",,Mon Aug 13 06:53:29 +0000 2018
AndyNW75,@virginmedia @virginmedia wow dispite the service interruption last time which lasted a few days I'm inconvenienced yet again today as guess what...... https://t.co/2jd2qWOKep,,Mon Aug 13 06:40:54 +0000 2018
destinycableph,"@armandgm Hi Armand, our apologies for the inconvenience. Currently we are having an ongoing service interruption and our team are already facilitating the repair. Be assured that we are doing our best to have this fixed the soonest time possible. Please bear with us. Thank you.",,Mon Aug 13 05:46:02 +0000 2018
Ask_Spectrum,"@Appraiser249 Good morning Dennis. I apologize for the delayed reply to your message. I can confirm that a video service interruption has been declared for your area. Although I do not have an estimated time of resolution to provide for this issue, I would be happy ... https://t.co/z1pQTR5Fpw",,Mon Aug 13 05:44:54 +0000 2018
napocampojr,"#Repost paddlelaundrylounge with get_repost
・・・
With the postponement of the water interruption we will still push thru with the scheduled closing at 11pm but self service laundry will be… https://t.co/FSTqxNRfSl",,Mon Aug 13 04:36:57 +0000 2018
CTS_Infostrafic,"Du 6 au 17 août inclus, travaux #TRAM ligne B, interruption entre Wacken et Hoenheim Gare. Des bus de remplacement sont en place pour assurer la continuité du service. Vous trouverez toutes les infos ici : https://t.co/ITckrYkV9h",,Mon Aug 13 04:13:23 +0000 2018
comcastcares,"@real_globmaster Hi there, I would like to look into your service interruption concerns. Can you please DM the phone number and name of the account? -AT",,Mon Aug 13 03:48:59 +0000 2018
TheaGood,RT @PedernalesCoop: OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. F…,"OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. For up-to-date outage information, please visit https://t.co/vAXQ06tIXL. https://t.co/lQCGgpQTGi",Mon Aug 13 03:47:40 +0000 2018
PNPCordillera,"RT @BaguiosFinest: Emergency water service interruption August 13, 2018 due to landslide damaged BWD mainline along Busol. https://t.co/5Wc…","Emergency water service interruption August 13, 2018 due to landslide damaged BWD mainline along Busol. https://t.co/5WcIv3C1Lb",Mon Aug 13 03:13:10 +0000 2018
BaguiosFinest,"Emergency water service interruption August 13, 2018 due to landslide damaged BWD mainline along Busol. https://t.co/5WcIv3C1Lb",,Mon Aug 13 03:10:48 +0000 2018
kuhlynsalazar,"RT @ManilaWaterPH: SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay…","SERVICE ADVISORY: Kung nakatira ka sa Mandaluyong, Pasig, San Juan, o Quezon City, maaaring apektado ang inyong barangay sa gagawing pipelaying at line interconnection sa EDSA-Shaw Blvd. sa Lunes ng gabi, Agosto 13, 2018.

Narito ang ilan pang detalye: https://t.co/umiuk38VK8 https://t.co/BSr7dRDzQn",Mon Aug 13 02:59:47 +0000 2018
dzIQ990,"Service interruption sa 33 barangay sa Mandaluyong, San Juan, Pasig at QC sinuspinde ng Manila Water https://t.co/P1lUeGVE8m",,Mon Aug 13 02:58:15 +0000 2018
Ask_Spectrum,"@SpankYouSilly I apologize for the inconvenience this has caused you. I was able to apply 5 days of service interruption credit, based on your documented contacts to us regarding your issue. It will appear on your next billing statement. ^JJS",,Mon Aug 13 02:54:39 +0000 2018
Shawhelp,"@Speckspub Hey there, thank you for reaching out! Yes, there is a service interruption in your area. Feel free to follow https://t.co/By6mcPVVNZ for more details and updates. I am sorry for any inconvenience and appreciate your patience. ^TD",,Mon Aug 13 02:34:41 +0000 2018
comcastcares,"@Shawn_amara Hi there, I would be more than happy to address your service interruption concerns. Pls send me a DM with your full first/last name and the phone number associated with the account. -NIA",,Mon Aug 13 01:41:36 +0000 2018
JeffersonTelco,"POSSIBLE SERVICE INTERRUPTION: Tuesday, August 14 at 12:01 a.m. Aureon will be performing maintenance on the Internet service that is supplied to Jefferson Telecom customers.  The maintenance upgrade will be... https://t.co/rj7JCVX2eI",,Mon Aug 13 01:25:04 +0000 2018
_loovejordaan,RT @comcastcares: @_loovejordaan I can look into the service interruption you are experiencing. Please send me a DM with your full name and…,@_loovejordaan I can look into the service interruption you are experiencing. Please send me a DM with your full name and phone number as it appears on your account. -OG,Mon Aug 13 01:16:22 +0000 2018
comcastcares,@_loovejordaan I can look into the service interruption you are experiencing. Please send me a DM with your full name and phone number as it appears on your account. -OG,,Mon Aug 13 01:15:53 +0000 2018
saipantribune01,"Community Briefs  August 13, 2018 | Emergency water service interruption for Gualo Rai area | Cha Cha Oceanview orientation today and 3 others https://t.co/KlpsSNiNCW",,Mon Aug 13 00:45:04 +0000 2018
comcastcares,"@GregGeering Hi there, I would be more than happy to address your service interruption concerns. Pls send me a DM with your full first/last name and the phone number associated with the account. -NIA",,Mon Aug 13 00:36:53 +0000 2018
bsapasig,"Store enough water for your needs, mga ka-barangay! Here's a friendly reminder from Kap. Thomas Raymond Lising and Council on the EMERGENCY TEMPORARY WATER SERVICE INTERRUPTION from August 13 (Mon), 7:00 pm to August 14 (Tue), 9:00 am. #beinformedBSA #serbisyongBSA #weloveBSA https://t.co/0ERv8iBGjN",,Sun Aug 12 23:00:26 +0000 2018
geechology,"RT @alvinelchico: Manila Water: Nearly 100,000 households, commercial &amp; business establishments in 43 brgys. in Mandaluyong, San Juan,Pasig…","Manila Water: Nearly 100,000 households, commercial &amp; business establishments in 43 brgys. in Mandaluyong, San Juan,Pasig &amp; Quezon City,will experience WATER SERVICE INTERRUPTION on Monday,Aug 13, 2018 @  7:00PM until 9:00AM,Tue, Aug.14 due to pipelaying &amp; interconnection work. https://t.co/ymX1I4aGol",Sun Aug 12 22:59:33 +0000 2018
SKYserves,"@iamkhelcruz Our apologies, @iamkhelcruz. The service interruption in your area is still ongoing. Please bear with us for now as our team continuously working to have it restored. Thank you.",,Sun Aug 12 22:59:16 +0000 2018
ATT,"@boy75_the Thank you for reaching out to AT&amp;T. To better assist you with your service interruption concerns, please provide your zip and account number. We're here to help! ^DeJ",,Sun Aug 12 22:55:00 +0000 2018
comcastcares,"@Capn_Lou_ Hello. I'd like to look into applying the credit to your account for the service interruption. Can you please send me a direct message with your full name, and phone number linked to the account? -Ty",,Sun Aug 12 22:22:52 +0000 2018
b_c_hopkins,"@comcastcares I’m generally pretty patient with this stuff guys, but this is getting painful. 3rd or 4th service interruption today in 98166. I’ll expect a response tomorrow around 10p, that’s usually how long it takes to hear back. 🙄",,Sun Aug 12 22:00:12 +0000 2018
WPXI,WATER MAIN BREAK affects hundreds of residents. @ErinClarkeWPXI is live at the scene learning how long the service interruption could last NOW on 11 News: https://t.co/6MkxA4NHaY https://t.co/Ww7hrrs9X0,,Sun Aug 12 21:56:30 +0000 2018
Tallguyva59,#moviepassfail https://t.co/fVR8idqTlm,,Sun Aug 12 20:43:39 +0000 2018
comcastcares,@SYFIOW I'm sorry to hear about this service interruption! Can you send me a DM with your name and phone number so I can bring up your account? I can look into this and make sure things are working. -MT,,Sun Aug 12 20:40:44 +0000 2018
comcastcares,"@FoggedInbooks Hello, thank you for reaching out to us today regarding your service interruption. In order to get started can you please send me a DM with your full name and phone number? -MC",,Sun Aug 12 20:28:07 +0000 2018
statesman,RT @PedernalesCoop: OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. F…,"OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. For up-to-date outage information, please visit https://t.co/vAXQ06tIXL. https://t.co/lQCGgpQTGi",Sun Aug 12 20:28:06 +0000 2018
cbsaustin,RT @PedernalesCoop: OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. F…,"OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. For up-to-date outage information, please visit https://t.co/vAXQ06tIXL. https://t.co/lQCGgpQTGi",Sun Aug 12 20:26:56 +0000 2018
SpecNewsATX,".@PedernalesCoop reports there is a service interruption in Cedar Park affecting approximately 1,000 customers. Crews are en-route.",,Sun Aug 12 20:26:03 +0000 2018
AggieKev92,RT @PedernalesCoop: OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. F…,"OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. For up-to-date outage information, please visit https://t.co/vAXQ06tIXL. https://t.co/lQCGgpQTGi",Sun Aug 12 20:21:11 +0000 2018
PedernalesCoop,"OUTAGE ALERT: There is a service interruption in Cedar Park affecting approximately 1000 members. Crews are en-route. For up-to-date outage information, please visit https://t.co/vAXQ06tIXL. https://t.co/lQCGgpQTGi",,Sun Aug 12 19:51:45 +0000 2018
Will97k,RT @VincentCarrias: L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessit…,L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessite 4 à 6 heures d'interruption de service ; elle mobilise 2 monteurs sur le pylône et 2 au sol. #4GOrangeCaraibe #OrangeNumero1 #mobiliséspourvous https://t.co/bKtLGH53ED,Sun Aug 12 17:42:43 +0000 2018
Sufistarz,"@GetSpectrum beware if ur in Tampa, Fl Service. 1 month of FULL DAYS of no cable, phone or internet.  Internet interruption is a staple. No answer wen calling Customer service.",,Sun Aug 12 17:36:02 +0000 2018
ElJuno93,@maynilad @qclocalgovt @DILGkyusi Water service interruption kayo dyan. Gabi gabi nga kayo nagpapatay ng tubig e. Tumigil nga kayo dyan Maynilad!,,Sun Aug 12 16:29:21 +0000 2018
AshZification,"I understand how electric and water service interruptions happen (usually a physical disconnect or surge), but how does an internet service interruption happen? How does it get repaired so that interruptions don't happen again?",,Sun Aug 12 16:27:32 +0000 2018
Optus,@iamharj Hi there - Sorry to hear you're experiencing an interruption to your service. Could you please confirm your handset make and model? Aman,,Sun Aug 12 16:22:17 +0000 2018
kathleen92600,"RT @ChartresTrafic: ⚠️Le 19/08 travaux de remise en service du poste de signalisation de St-Cyr

Interruption totale de circulation. Aucun…","⚠️Le 19/08 travaux de remise en service du poste de signalisation de St-Cyr

Interruption totale de circulation. Aucun train entre Paris-Montparnasse et Rambouillet de 00h et 13h

Le plan de transport sera disponible le 14 août à 17h

Merci de reporter votre voyage",Sun Aug 12 16:13:49 +0000 2018
charenteee4G,RT @VincentCarrias: L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessit…,L’opération de changement d'antenne réalisée dans le cadre de la modernisation du réseau radio @Orange_Caraibe nécessite 4 à 6 heures d'interruption de service ; elle mobilise 2 monteurs sur le pylône et 2 au sol. #4GOrangeCaraibe #OrangeNumero1 #mobiliséspourvous https://t.co/bKtLGH53ED,Sun Aug 12 16:08:33 +0000 2018
