joyce_macri,6.1 quake shakes Costa Rica near Panama; no major damage https://t.co/jp7JevzZcC via @houstonchron,,Sat Aug 18 19:34:20 +0000 2018
sumomo_san,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:51:39 +0000 2018
CIAofficer5,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:51:19 +0000 2018
angel365ah,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:51:11 +0000 2018
Estigiaed,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:50:20 +0000 2018
ChowdhuryIrteza,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:50:19 +0000 2018
Cartarbri,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:49:44 +0000 2018
PutinDaGreat1,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:49:28 +0000 2018
anparhlikhari,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:49:26 +0000 2018
sebastiaanevans,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:49:05 +0000 2018
ElwellGraham,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:48:32 +0000 2018
zauberhippo,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:48:14 +0000 2018
AVT470BUG,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:48:01 +0000 2018
humnun2017,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:47:43 +0000 2018
IamPakWarrior,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:47:17 +0000 2018
mlnangalama,"via @PerilofAfrica  New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse https://t.co/gd9b8SWz5P https://t.co/eZbkcsS28X",,Thu Aug 09 05:47:03 +0000 2018
PrincessBibiRF_,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:47:03 +0000 2018
brunomazzocchi,"RT @SputnikInt: New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA","New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",Thu Aug 09 05:46:55 +0000 2018
torturedmonster,"New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse: https://t.co/loE19nitxo via @SputnikInt",,Thu Aug 09 05:46:47 +0000 2018
SputnikInt,"New 6.2 #Quake Shakes #Indonesia's Lombok, Buildings Reportedly Collapse
https://t.co/UJQBAYoI11 https://t.co/PePRejc9WA",,Thu Aug 09 05:46:34 +0000 2018
ibangel,"New 6.2 Quake Shakes Indonesia's Lombok, Buildings Reportedly Collapse - Sputnik International https://t.co/saLGTC774L",,Thu Aug 09 05:46:23 +0000 2018
Lil318_,RT @donnvn_: @jswanxxx i got that shakes that’ll make you quake,@jswanxxx i got that shakes that’ll make you quake,Wed Aug 08 20:42:46 +0000 2018
jswanxxx,RT @donnvn_: @jswanxxx i got that shakes that’ll make you quake,@jswanxxx i got that shakes that’ll make you quake,Wed Aug 08 20:04:32 +0000 2018
donnvn_,@jswanxxx i got that shakes that’ll make you quake,,Wed Aug 08 19:45:03 +0000 2018
vanessaagg2,"Lisa's got the shakes that'll make you quake (22 Photos) 👍

https://t.co/y57Lh9tjLV",,Wed Aug 08 19:17:04 +0000 2018
calamitymarya66,"😿 Lisa's got the shakes that'll make you quake (22 Photos) 🖖

https://t.co/Okw5YtUvTa",,Wed Aug 08 18:38:19 +0000 2018
