McCringie,"Quake Champions, I quit for a while and am prob bad: https://t.co/QV6LDjHp1q via @YouTube",,Sat Aug 18 20:16:29 +0000 2018
The_News_DIVA,6.1 quake shakes Costa Rica near Panama https://t.co/JBQZElesmc,,Sat Aug 18 14:10:04 +0000 2018
ajiesenvinagre,"El miedo que le tienen los machos a las mujeres organizadas es terrible.

LET THEM QUAKE IN THEIR BOOTS. https://t.co/okMJAdUvbr",,Sat Aug 18 14:09:58 +0000 2018
SavageSquadOrg,"Quake Champions Is Permanently Free-To-Play Now
https://t.co/IdLGZ4bbI1
#FreeGame #SSGO",,Sat Aug 18 14:09:13 +0000 2018
Parashakti83,"RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was…","@DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was attributed to the wrath of jesus. 3. the christmas day quake in Bam, Iran of 2003 was attributed to the wrath of jesus. 4. the christmas day cyclone in darwin, Australia in 1974 was attributed, yes, same way",Sat Aug 18 14:09:10 +0000 2018
RebelTVIreland,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 14:08:54 +0000 2018
Parashakti83,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 14:08:07 +0000 2018
minmaxfps,Quake champions: https://t.co/r5EbjSvD2m putem @YouTube,,Sat Aug 18 14:08:03 +0000 2018
Stethoskaapi,"RT @God_Conundrum: @gsurya @TheRestlessQuil During Chennai flood &amp; Nepal quake collections, there're used clothes with menstrual blood on t…","@gsurya @TheRestlessQuil During Chennai flood &amp; Nepal quake collections, there're used clothes with menstrual blood on them. Collectors have to bin the whole bunch. This is why people dont accept used clothes. This is to make sure victims, who are already vulnerable to infections, don't get into trouble",Sat Aug 18 14:07:36 +0000 2018
Justluvly101,RT @TheRoyGreenShow: 13yr old Dio Gama granted status from @HonAhmedHussen to join B.C. team in L.L. World Series. Refugee claimant father…,13yr old Dio Gama granted status from @HonAhmedHussen to join B.C. team in L.L. World Series. Refugee claimant father served 5yrs U.S. imprisonment. Hussen denying 13 yr old Haiti quake orphan Widlene Earle entry to Cda. Adopted by Canada's Earle family. https://t.co/aSVwU7NI7V,Sat Aug 18 14:07:33 +0000 2018
AngeloftheSeize,"RT @FW1SHINE: FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes repor…","FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes reported that the quake had a magnitude of 6.0 and struck at 5:22 p.m. local time at a depth of 12 miles (19 kilometers) epicenter north of the town of #Golfito https://t.co/Ka3diwkbdB",Sat Aug 18 14:07:29 +0000 2018
FlyFromFalling,"@BatBrained He straightens the pile of blankets as Damian folds them. They’ll be redistributed back to their donors soon. 

“You think I don’t know that? I’ve been here for months. I know each of them by name, what they did before the quake...who they lost.” Nightwing’s shoulders slump -",,Sat Aug 18 14:07:10 +0000 2018
A_livecommunity,New Quake 2 screenshots showcase improved high quality 3D weapon models https://t.co/lfI6m2JGfE https://t.co/EG677W8LXO,,Sat Aug 18 14:04:49 +0000 2018
Quake_Beats,I just made this rap beat in 17minutes💪👌 #unmixedbeat https://t.co/Uixz5Se73J,,Sat Aug 18 14:04:11 +0000 2018
FW1SHINE,"FRI-17-AUG-18 06:23PM SAN JOSE, Costa Rica strong #earthquake in #CostaRica near the border with #Panama @USGSBigQuakes reported that the quake had a magnitude of 6.0 and struck at 5:22 p.m. local time at a depth of 12 miles (19 kilometers) epicenter north of the town of #Golfito https://t.co/Ka3diwkbdB",,Sat Aug 18 14:03:38 +0000 2018
KirstenStephens,Marvel Rising Initiation full episode on YouTube - for those of us without cable #msmarvel #squirrelgirl #quake #ghostspider #patriot #MarvelRising https://t.co/iEvVAJuDfU,,Sat Aug 18 14:00:53 +0000 2018
shadgon,What time is it? FRAG TIME! Going live with Quake Champions! Who is ready from some brutal deathmatches? @STRECONN @UltiStreamTeam @TwitchUnified @TCrewRTs https://t.co/knNyiJ4TyM,,Sat Aug 18 14:00:42 +0000 2018
Nykho_QC,@OservEsport Un pti @Quake_FR ? :D,,Sat Aug 18 13:59:42 +0000 2018
Quake_Skywalker,"RT @FraVonV: Quanti danni la mancanza di autostima, quanto vorrei renderla materia base dall’asilo.","Quanti danni la mancanza di autostima, quanto vorrei renderla materia base dall’asilo.",Sat Aug 18 13:58:58 +0000 2018
johnjjsmyth,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:58:42 +0000 2018
LibiMcFly,"Hi an alle #Flypeople da draußen,

ab 18 Uhr ballern wir Blei in die Heide in @PUBG / @JoinSquad / @Quake oder nach was uns sonst noch so der Sinn steht! 

Schaut rein und sagt Hallo 👀oder lacht einfach mit bei den vielen Fails🤣

https://t.co/eFBOO13dxZ

#Over9000 #diegeilsten https://t.co/dw8O5hyY0a",,Sat Aug 18 13:58:25 +0000 2018
Len_leRoux,"Quake rattles southern Costa Rica, Panama; no damage reported https://t.co/Mo8TMes7fu",,Sat Aug 18 13:57:41 +0000 2018
MarkOLeary_10,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:57:34 +0000 2018
reinamiii,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 13:57:03 +0000 2018
kashyap_kumar,"RT @kush07: We saw this being done in Nepal after the massive quake devastated the country

#SoulVultures were out in packs using dubious f…","We saw this being done in Nepal after the massive quake devastated the country

#SoulVultures were out in packs using dubious funds in the guise of ""help"" to convert people

Not surprised at all https://t.co/0Df4xAKzNl",Sat Aug 18 13:56:16 +0000 2018
kittydarko,RT @QuakeRussia: HoQ 2v2 Summer Season Catch Up Round: Monday 20/08/18 Div2 muthafuckas vs get armor frag bitches Tuesday 21/08/18 Div1 102…,HoQ 2v2 Summer Season Catch Up Round: Monday 20/08/18 Div2 muthafuckas vs get armor frag bitches Tuesday 21/08/18 Div1 102 vs BUND Wednesday 22/08/18 Div3 2Catz vs Anchors... https://t.co/RCBw52v70h https://t.co/B3I5chmt9x,Sat Aug 18 13:55:33 +0000 2018
colonelwest,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:55:22 +0000 2018
pickleaholic,A very destructive heart-quake...,,Sat Aug 18 13:54:37 +0000 2018
kittydarko,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 13:53:50 +0000 2018
quake_ebooks,it's quiet in the studio,,Sat Aug 18 13:53:36 +0000 2018
Vlnbharadwaj2,@ZeeNews How Much Ur Party given in Gujrat Earth Quake?,,Sat Aug 18 13:53:08 +0000 2018
SwnSng,"@_Cyanc3 @Quake Yes, but most have called it a ""title"" therefore on paper it's now equivalent to any of the previous hard fought and full draw @Quakecon titles -- which I don't think it is.",,Sat Aug 18 13:52:43 +0000 2018
sherwinagandits,hala naaansha ako anong oath quake????? Oats lang pala hala amboboooooo haha,,Sat Aug 18 13:52:38 +0000 2018
LOCKExHARTGames,"RT @IGN: Quake Champions developer says more Smash Bros-style crossovers are 'in high consideration.'  

https://t.co/NO7j9VSt6i https://t.…","Quake Champions developer says more Smash Bros-style crossovers are 'in high consideration.'  

https://t.co/NO7j9VSt6i https://t.co/ZC4dVDs5J1",Sat Aug 18 13:51:45 +0000 2018
anonymiss8,Costa Rica earthquake: Damage and power outages after magnitude 6.0 quake hits close to Panama border https://t.co/vVnFMVtYgV,,Sat Aug 18 13:51:33 +0000 2018
NetChatTV,#netchattv #gaming #gamer New Quake 2 screenshots showcase improved high quality 3D weapon models https://t.co/gvx0GUvJKg,,Sat Aug 18 13:51:29 +0000 2018
anna_938,RT @TheRoyGreenShow: 13yr old Dio Gama granted status from @HonAhmedHussen to join B.C. team in L.L. World Series. Refugee claimant father…,13yr old Dio Gama granted status from @HonAhmedHussen to join B.C. team in L.L. World Series. Refugee claimant father served 5yrs U.S. imprisonment. Hussen denying 13 yr old Haiti quake orphan Widlene Earle entry to Cda. Adopted by Canada's Earle family. https://t.co/aSVwU7NI7V,Sat Aug 18 13:51:09 +0000 2018
ghosh121,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 13:50:52 +0000 2018
QuakeSudAmerica,"RT @BethesdaLATAM: Un mapa clásico rediseñado.

¡The Longest Yard llega a @Quake Champions! https://t.co/oi0DG8ZYZQ","Un mapa clásico rediseñado.

¡The Longest Yard llega a @Quake Champions! https://t.co/oi0DG8ZYZQ",Sat Aug 18 13:50:09 +0000 2018
ChubbyPlum,"@Quake champions is so much fun now

played it way back, might really get into it",,Sat Aug 18 13:49:53 +0000 2018
Quake_6,"Although you are eager to leap forward into the future, there ... More for Leo https://t.co/xbAiPKwxBr",,Sat Aug 18 13:48:48 +0000 2018
Maxy_Black,"Think about me whatever you want but if everyone is typing GG and you type anything related to ""EZ game"" in @Quake , in my eyes, there are only two reasons. You either need to recompensate size of your penis or you are abused by someone.",,Sat Aug 18 13:48:13 +0000 2018
gseka60,@sgurumurthy Is there any chances of earth quake happening if SC allowed women entry to sabarimala? 🤔,,Sat Aug 18 13:48:06 +0000 2018
negi_suniel,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 13:47:38 +0000 2018
rajamsulaiman,"RT @ophe_imsaiarasi: Idiots spreadg such hatred wont b arrestd. Bt cartoonists expressg their thoughts, farmrs fightin 4 their lands, activ…","Idiots spreadg such hatred wont b arrestd. Bt cartoonists expressg their thoughts, farmrs fightin 4 their lands, activists supportg these causes wil b arrestd. Wil this dumf*ck apply this logic to Guj quake, Chennai floods, Uttarakhand flashfloods, etc?!🙄😠 #KeralaFlood https://t.co/yyJyScBLCY",Sat Aug 18 13:47:16 +0000 2018
VolcanoWatching,RT @geonet: M2.9 quake causing weak shaking near Cheviot https://t.co/qL3YZpEVgg,M2.9 quake causing weak shaking near Cheviot https://t.co/qL3YZpEVgg,Sat Aug 18 13:46:57 +0000 2018
nanorobot_quake,現在日時：2018年8月18日土曜日　22時46分です。,,Sat Aug 18 13:46:53 +0000 2018
PewPewPewOne,New Quake 2 screenshots showcase improved high quality 3D weapon models...,,Sat Aug 18 13:44:33 +0000 2018
geonet,M2.9 quake causing weak shaking near Cheviot https://t.co/qL3YZpEVgg,,Sat Aug 18 13:44:32 +0000 2018
GHT4me,RT @nnins: Who felt the small earthquake near Loudoun last night? How about the one in Central VA on July 5? Experts say it was an aftersho…,Who felt the small earthquake near Loudoun last night? How about the one in Central VA on July 5? Experts say it was an aftershock from the 5.8 magnitude quake that rocked the East Coast in 2011. Watch “Look Around- How Safe is Your Home?” on #Vimeo https://t.co/tRDu9tRsH3,Sat Aug 18 13:44:16 +0000 2018
ronankiernan7,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:43:38 +0000 2018
MitjaRoskaric,"RT @Mclogenog: New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r","New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r",Sat Aug 18 13:40:52 +0000 2018
fog20,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:40:48 +0000 2018
bubbawake144,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:40:41 +0000 2018
LuckysPipe,also really wish I could play quake on Xbox one wtf,,Sat Aug 18 13:40:08 +0000 2018
fearoffreedom,6.1 quake shakes Costa Rica near Panama; no major damage - ABC News - https://t.co/60PSuEn2b2 via @ABC,,Sat Aug 18 13:39:19 +0000 2018
Onox792,"Dos años tarde pero me acabo de terminar el episodio nuevo de Quake 1 que hizo Machine Games por su veinte aniversario, me asombra lo bien que saben captar la esencia del juego con esos niveles.

Luego recuerdo que son los están haciendo los nuevos Wolfensteins y se me pasa.",,Sat Aug 18 13:38:39 +0000 2018
laolieo82,RT @richardsbhpra: @laolieo82 quake me,@laolieo82 quake me,Sat Aug 18 13:38:05 +0000 2018
NCBurnham,"RT @Mclogenog: New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r","New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r",Sat Aug 18 13:38:00 +0000 2018
t_senpaibot,"隣の課の先輩「おっ、君がぼく君か。FPSやるんだって？」
ぼく「アッハイ。ゾス」
ぱいせん「どんなやつやってるん？」
ぼく「Quakeとかスポーツ系が好きですね」
ぱいせん「ふ〜ん？(理解してない)まぁ僕はPCでFPSやる派だから〜(ドヤ顔」
ぼく「？？？？？？？？」",,Sat Aug 18 13:37:07 +0000 2018
Mclogenog,"New Quake Map: ""Recursion""
https://t.co/IwKGJB47XZ
Collect the four runes to complete the level! https://t.co/UXvaodj75r",,Sat Aug 18 13:37:00 +0000 2018
iDennyK,[СТРИМ] Quake Champions ▶️ Больше Эпика: https://t.co/0pifKwGFtx via @YouTube,,Sat Aug 18 13:36:44 +0000 2018
UK761,"Magnitude 6.6 quake hits North East of Raba, Indonesia -USGS https://t.co/wwXkDed71P",,Sat Aug 18 13:36:43 +0000 2018
krishk_5,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 13:36:34 +0000 2018
LaValse_OSU,@_Quake_ALiCE_ 아이린 ㅇㅋ,,Sat Aug 18 13:36:33 +0000 2018
lucydaoon1,quake https://t.co/wFYvbVSE3l,,Sat Aug 18 13:36:24 +0000 2018
_Quake_ALiCE_,"RT @studymind: 랜섬웨어 유포중이랍니다. 해당되는 메일받으시는 분들은 조용히 삭제 누르시면 되겠습니다. 공정거래위원회로 전화했더니, 상담사분이 바로 말씀해주시는거 보면, 꽤 광범위하게 퍼지고 있는거 같습니다. 주의하시길... https:/…","랜섬웨어 유포중이랍니다. 해당되는 메일받으시는 분들은 조용히 삭제 누르시면 되겠습니다. 공정거래위원회로 전화했더니, 상담사분이 바로 말씀해주시는거 보면, 꽤 광범위하게 퍼지고 있는거 같습니다. 주의하시길... https://t.co/3Ds1TLYeCB",Sat Aug 18 13:35:42 +0000 2018
_Quake_ALiCE_,RT @lkpk_g: 聖母と化した雷 https://t.co/PGN3JQnzN0,聖母と化した雷 https://t.co/PGN3JQnzN0,Sat Aug 18 13:35:22 +0000 2018
_Quake_ALiCE_,RT @Irara0422: 한국인들이 일본게임에 가면 생기는일 https://t.co/FpGGmDiIIQ,한국인들이 일본게임에 가면 생기는일 https://t.co/FpGGmDiIIQ,Sat Aug 18 13:35:12 +0000 2018
_Quake_ALiCE_,RT @shohoku07: 우리가게 포스기에 이상한 메뉴 잇음 https://t.co/ehL7mSlbwV,우리가게 포스기에 이상한 메뉴 잇음 https://t.co/ehL7mSlbwV,Sat Aug 18 13:34:51 +0000 2018
_Quake_ALiCE_,"RT @naomi_fantasia: たのしい夏休み✨
#FGO https://t.co/FWwRt7EKGO","たのしい夏休み✨
#FGO https://t.co/FWwRt7EKGO",Sat Aug 18 13:34:46 +0000 2018
_Quake_ALiCE_,"Irene를 이레네라고 읽나 아님 아이린으로 읽나...
 프라우 엥겔 본명이 아이린 엥겔이라고 적혀있으니 아이린인가?",,Sat Aug 18 13:34:41 +0000 2018
malasdair,watched that Doom II video and got hungry for Quake II so here's hoping it runs in non-software mode on Trashtop: The Garbage Laptop That Sucks,,Sat Aug 18 13:34:25 +0000 2018
itsjohnnydover,"@Purpliser @Timey2Wimey @Ratchphis I found I like the new Repugnus head a lot more on the Hardhead/Quake figure.  Somehow mine came packed with two Dastards and the additional Prime, so I've been able to noodle about a bit.",,Sat Aug 18 13:34:14 +0000 2018
leah__xxx__,Is Quake still a thing cus I used to play that shit till like 3am on my dads huge desktop computer in the early 2000s lmao I want to revisit,,Sat Aug 18 13:33:55 +0000 2018
ipabs,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 13:32:59 +0000 2018
_Quake_ALiCE_,"RT @Star_sien: [공약]
제가 10월까지 5kg이상 못빼면

P를 위한 죠가사키 미카 피그마
PC몬헌을 위한 엑박패드
흡연자를 위한 담배 4갑(현금)
치느님을 위한 치킨(현금)

알티하신분들중 4분께 드리겠습니다

현재체중 79kg이고 1…","[공약]
제가 10월까지 5kg이상 못빼면

P를 위한 죠가사키 미카 피그마
PC몬헌을 위한 엑박패드
흡연자를 위한 담배 4갑(현금)
치느님을 위한 치킨(현금)

알티하신분들중 4분께 드리겠습니다

현재체중 79kg이고 10월 10일에 몸무게 재는걸 기준으로 하겠습니다.

제발 살빼자! https://t.co/2hdKEed7mB",Sat Aug 18 13:32:56 +0000 2018
m0ejiro,RT @k_tadaki: Quake Championsめっちゃ楽しいやん…,Quake Championsめっちゃ楽しいやん…,Sat Aug 18 13:32:51 +0000 2018
pynkocean,RT @yutospics: 171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,171203 ✧ *.ﾟ© mind quake https://t.co/N7tJmn9Ekq,Sat Aug 18 13:31:52 +0000 2018
sathya0709,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 13:31:52 +0000 2018
Traveller_Makk,"RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was…","@DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was attributed to the wrath of jesus. 3. the christmas day quake in Bam, Iran of 2003 was attributed to the wrath of jesus. 4. the christmas day cyclone in darwin, Australia in 1974 was attributed, yes, same way",Sat Aug 18 13:31:35 +0000 2018
Traveller_Makk,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 13:31:22 +0000 2018
___SAINTm,"RT @ariesfagfoot: Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch","Malays: oii bapuk-
Gays: im about to suck a cock you better stay away before i quake the earth bitch",Sat Aug 18 13:30:56 +0000 2018
deatz_gaming,"RT @Quake: So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #play…","So nice we had to post about it twice! Your eyes did not deceive you, The Longest Yard is coming to #QuakeChampions! #dm17 #playitagain https://t.co/sHjmhgYHc4",Sat Aug 18 13:30:26 +0000 2018
rxulsdemands,"RT @quakeitanyways: ❛ɪ'ᴍ ꜱᴛʀᴏɴɢᴇʀ ᴛʜᴀɴ ʏᴏᴜ ᴋɴᴏᴡ. 
            ɪ'ᴍ ᴛʜᴇ ᴅᴇꜱᴛʀᴏʏᴇʀ ᴏғ ᴡᴏʀʟᴅꜱ.❜

            ˗ˏˋ ＱＵＡＫＥ ˎˊ˗ 

        ჻ earthqua…","❛ɪ'ᴍ ꜱᴛʀᴏɴɢᴇʀ ᴛʜᴀɴ ʏᴏᴜ ᴋɴᴏᴡ. 
            ɪ'ᴍ ᴛʜᴇ ᴅᴇꜱᴛʀᴏʏᴇʀ ᴏғ ᴡᴏʀʟᴅꜱ.❜

            ˗ˏˋ ＱＵＡＫＥ ˎˊ˗ 

        ჻ earthquake inhuman
        ჻ ꜱʜɪᴇʟᴅ agent.
        ჻ MCU ⤳ SPA.
        ჻ ʙʏ #ɴᴏᴛʏᴏᴜʀs

           ¿ʀᴛ? https://t.co/YP0DyMz3qV",Sat Aug 18 13:30:01 +0000 2018
sassalstar,RT @notesonthefront: The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some a…,The new https://t.co/T3k9malRA1 report shows a rental market out of control.  Over the last five-years rents in some areas rose by over 70%.  Inflation rose by less than 1%.  The market can't repair itself.  The Government can't or won't repair it.  We need a tenant-quake. https://t.co/E3prnbcLyg,Sat Aug 18 13:28:36 +0000 2018
give_me_chips,"RT @2018_AN_archive: 재능으로 연대해 주셔서 고맙습니다. 🙏😘@soul_quake 
덕분에 예쁘게 출력해 이제 집회장소로 출발합니다. 

#안희정이_무죄면_사법부는_유죄다 #미투끝장집회 #못살겠다_박살내자 #8월18일 https://…","재능으로 연대해 주셔서 고맙습니다. 🙏😘@soul_quake 
덕분에 예쁘게 출력해 이제 집회장소로 출발합니다. 

#안희정이_무죄면_사법부는_유죄다 #미투끝장집회 #못살겠다_박살내자 #8월18일 https://t.co/o92Gyialbk",Sat Aug 18 13:28:04 +0000 2018
SamarjitBharat,"RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was…","@DimpleAtra @by2kaafi @NarenMenon1 @sgurumurthy ... (oops 2001, not 1998). 2. the christmas night tsunami of 2004 was attributed to the wrath of jesus. 3. the christmas day quake in Bam, Iran of 2003 was attributed to the wrath of jesus. 4. the christmas day cyclone in darwin, Australia in 1974 was attributed, yes, same way",Sat Aug 18 13:26:14 +0000 2018
Kritigri,"This week's Weekly Deathmatch is in Quake Champions again, and this time I don't come seventh!

I come sixth lmao

Video is rendering",,Sat Aug 18 13:26:08 +0000 2018
fachryall,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 13:25:57 +0000 2018
maulidioasmr,RT @MesutOzil1088: Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. In…,Shocked and sad to hear about the new earth quake in Indonesia where I have always been getting so much support from. Including you beautiful people into my prayers 🙏🏽 https://t.co/yhg8XvPLvd,Sat Aug 18 13:25:56 +0000 2018
Quake_Beats,"RT @ZombieBeats14: @6LACK  ft  @Nasty_CSA - Prblems ( ZOMIX ) [combined by ZOMBIE]

6Lack - Prblems combined with Nasty C's freestyle on Sw…","@6LACK  ft  @Nasty_CSA - Prblems ( ZOMIX ) [combined by ZOMBIE]

6Lack - Prblems combined with Nasty C's freestyle on Sway In The Morning

#StringsAndBling #Bear 
@BeatStars @Breezy_Multi_M @AtlanticRecords https://t.co/evJdZr0Bcw",Sat Aug 18 13:25:48 +0000 2018
shadgon,Going live in 30 minutes! Step into the arena with me in @Quake!,,Sat Aug 18 13:25:35 +0000 2018
pramodrama,RT @RajeevSrinivasa: @DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayy…,@DimpleAtra @by2kaafi @NarenMenon1 they're now bashing @sgurumurthy for saying maybe the wrath of nature (ie swami ayyappan) is causing the floods. but let me mention how often the divine wrath of jesus has been invoked in disasters: 1. KA minister t john said that gujarat quake of 1998 was coz of RoL 'oppression',Sat Aug 18 13:25:27 +0000 2018
