yes_that_girl_,@reni_rhe9 Kiun k rat mein sari sadness ubhar aati hai 😂😊,,Sat Aug 04 11:39:02 +0000 2018
DelacruzK_,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:46:30 +0000 2018
sprimx_,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:46:25 +0000 2018
icianne_,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:46:18 +0000 2018
sykes_kelvin,RT @BorisJohnson: I am proud to have served as Foreign Secretary. It is with sadness that I step down: here is my letter explaining why. ht…,I am proud to have served as Foreign Secretary. It is with sadness that I step down: here is my letter explaining why. https://t.co/NZXzUZCjdF,Sat Aug 04 10:46:18 +0000 2018
Zahirarai,"RT @gayexjulyan: Unpopular Opinion:

Just bcos u see people give the widest smiles dnt mean they have the strongest hearts &amp; minds. Maybe t…","Unpopular Opinion:

Just bcos u see people give the widest smiles dnt mean they have the strongest hearts &amp; minds. Maybe they jst have the thickest skin to show, to prove others that there's still something to look forward in the midst of struggles &amp; loads of sadness.",Sat Aug 04 10:46:16 +0000 2018
Dieu1103,"RT @Taetaeum95: Smile, even if it's a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile 💙
#WeLoveYouTae…","Smile, even if it's a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile 💙
#WeLoveYouTaehyung 

#iHeartRadioMMVAs #MMVAs #FFGroupBTS @BTS_twt https://t.co/4S1sd3rmsc",Sat Aug 04 10:46:11 +0000 2018
watameowte,I can sense the sadness while watching the performance #WELOVEYOUJENNIE https://t.co/cxVYyPPpz5,,Sat Aug 04 10:46:09 +0000 2018
ItsMasisah,RT @UKenyatta: It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished…,"It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished long serving public servant, lawmaker and accountant whose service to the nation will be greatly missed.",Sat Aug 04 10:45:54 +0000 2018
MinSugi65307677,"RT @Taetaeum95: Smile, even if it's a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile 💙
#WeLoveYouTae…","Smile, even if it's a sad smile, because sadder than a sad smile is the sadness of not knowing how to smile 💙
#WeLoveYouTaehyung 

#iHeartRadioMMVAs #MMVAs #FFGroupBTS @BTS_twt https://t.co/4S1sd3rmsc",Sat Aug 04 10:45:48 +0000 2018
melonandbeans,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:45:46 +0000 2018
missmotorcade,"Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",,Sat Aug 04 10:45:46 +0000 2018
GZUs9MIWY7bbq6I,"Home is a place where you can forget all of the worries and sadness, just being loved all day.Hope grandparents  live to 100 years healthly.",,Sat Aug 04 10:45:08 +0000 2018
tekayela,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:44:59 +0000 2018
ijennncute,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:44:57 +0000 2018
IlCobra21,RT @Digger_forum: He’s not in a good place and hasn’t been of late. Visitation rights to his kids and being blocked by his ex was one sourc…,He’s not in a good place and hasn’t been of late. Visitation rights to his kids and being blocked by his ex was one source of sadness which he drank on. https://t.co/gvch9UcldP,Sat Aug 04 10:44:55 +0000 2018
mkhellsternyah1,"RT @SaRaAshcraft: One more thing:

There is always beauty on the other side of sadness. And it is glorious.

#LOVE #Blessings #Patience #Fa…","One more thing:

There is always beauty on the other side of sadness. And it is glorious.

#LOVE #Blessings #Patience #Faith #ItEndsNow #TheGreatAwakening #QAnon",Sat Aug 04 10:44:52 +0000 2018
prsnuknw,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:44:41 +0000 2018
ninnui,RT @lucario_564: Guys this is hard but please keep using the #. We need every tweet we can get. Use this sadness and pain and turn it into…,"Guys this is hard but please keep using the #. We need every tweet we can get. Use this sadness and pain and turn it into motivation to fight for our show. To quote our beautiful Magnus Bane ""This fights far from over."" #SaveShadowhunters",Sat Aug 04 10:44:35 +0000 2018
jorgejuliannn,what do you prefer sadness or joy?  Why? — or https://t.co/0lvSEaWf59,,Sat Aug 04 10:44:33 +0000 2018
KuroHisoka,"RT @nannetted258: Today is gonna be rough, and i have no words, except to try to stay positive, and dont be afraid to take breaks from here…","Today is gonna be rough, and i have no words, except to try to stay positive, and dont be afraid to take breaks from here, i know i will, i cant handle all of this sadness. #SaveShadowhunters",Sat Aug 04 10:44:20 +0000 2018
sadness_saram,졌다,,Sat Aug 04 10:44:19 +0000 2018
aGEEKspot,"Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",,Sat Aug 04 10:44:16 +0000 2018
markacolman,With Labour anti-Semitism and Tory Brexit fanaticism I think it may be time to cull my following list on here again. Unbelievable sadness and all-consuming anger is not conducive to good mental health. Back to people who I have actually met in person for a while I think.,,Sat Aug 04 10:44:06 +0000 2018
nrkhvlisa,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 10:44:06 +0000 2018
yungibtm,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:44:05 +0000 2018
laticiaa,"RT @shashiraj89: Depression isn't always sadness, it can also be emptiness, anger, tiredness or loneliness, sometimes a cry for help isn't…","Depression isn't always sadness, it can also be emptiness, anger, tiredness or loneliness, sometimes a cry for help isn't so visible.",Sat Aug 04 10:44:05 +0000 2018
_KhairinaAtiqah,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:44:03 +0000 2018
ShishyaApp,Sadness is a warning that you have gone away from the Self. Go back to the Self or Consciousness which radiates happiness. - Gurudev @SriSri,,Sat Aug 04 10:44:02 +0000 2018
beniedesdieux,RT @elena_drymova: This is my wish for you..  smiles when sadness intrudes !)) https://t.co/2vZALK4JWu,This is my wish for you..  smiles when sadness intrudes !)) https://t.co/2vZALK4JWu,Sat Aug 04 10:43:53 +0000 2018
dohyeen_,"The confidence and self esteem and feelings that come after praying and spending time with God are THE BESTTT!!!!! 😍💪💪💪💪.
Fastest cure for sadness and depression!!!",,Sat Aug 04 10:43:53 +0000 2018
Beniehitty,"RT @_exquizit: In Capital Harare theres so much anger mixed with sadness. Tension is real, only a matchstik can bring chaos right now. Even…","In Capital Harare theres so much anger mixed with sadness. Tension is real, only a matchstik can bring chaos right now. Even those who used to write and sing EDpfee have come to the reality and conclusion that we are doomed &amp; wasted another five years because of a Tshirt🤷🏽‍♂️",Sat Aug 04 10:43:40 +0000 2018
trangpark4,"I turned my back on the wall,sad to cry.I make small fish,swim in sadness.Sorrow as immense as the sea,I swam all night still not out.But I still swim quietly, pensive,lonely,occasionally fluttering the long tail,appearing milky foam like small stars..then I would swim out right? https://t.co/3D5VG9JCHF",,Sat Aug 04 10:43:37 +0000 2018
1feralkat,"RT @FaustiniMary: SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his…","SAMSON, 5, #lab, has another day at #nycacc. He has a vol note, &amp; a u tube vid! Did not have an easy life. Let's turn his sadness into happiness, w/dancing eyes, huh? Can u give him a 🏡 w/ lots of ❤, &amp; TLC? But no meat products; allergic. #foster #adopt https://t.co/uuEIgjrDOm https://t.co/dDC7uXM9JX",Sat Aug 04 10:43:36 +0000 2018
skrrtitsimaan,"RT @loistruly: Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll…","Depression is not sadness.  Depression is not being broke.  It's not 'we've all been there',  it's not 'just pray and it'll go away',  or 'just think happy thoughts' , it's and illness that needs treatment 
#KeepTalkingMh https://t.co/ovFFyGYo7B",Sat Aug 04 10:43:35 +0000 2018
XavierKing199X,"RT @Bleezy223: But they all didn’t see...

The little bit of sadness in me","But they all didn’t see...

The little bit of sadness in me",Sat Aug 04 10:43:34 +0000 2018
aarondbrinker,"RT @TheFavelakid: New poetry book #lifelessons
#sadness #hope
#choosingapath #reading #darkvslight

Absolution  https://t.co/rywkeLMdfd via…","New poetry book #lifelessons
#sadness #hope
#choosingapath #reading #darkvslight

Absolution  https://t.co/rywkeLMdfd via @amazon https://t.co/xO0Huhtg13",Sat Aug 04 10:43:31 +0000 2018
Hello_Kateeee,RT @ChefScott_: “Fake happiness is the worst sadness.”,“Fake happiness is the worst sadness.”,Sat Aug 04 10:43:28 +0000 2018
Keplacuts,Had a weird pang of sadness today thinking that I've got some good friends that have never listened to Blonde from beginning to end,,Sat Aug 04 10:43:28 +0000 2018
you_vv00420,"RT @VINXENsays: (What was it your intended massages with that song? / 이 노래로 의도된 너의 메세지가 뭐였어?) 그냥, 같이 가라앉아달라는 메세지. (like or in a sadness lik…","(What was it your intended massages with that song? / 이 노래로 의도된 너의 메세지가 뭐였어?) 그냥, 같이 가라앉아달라는 메세지. (like or in a sadness like as? / 슬픔 속에?) yeah, in depression. / 응, 우울함 속에. https://t.co/JFf7y4In90",Sat Aug 04 10:43:22 +0000 2018
clairemopon,@raynahh_21 Necause they brought sadness sa buhay ko charotz,,Sat Aug 04 10:43:21 +0000 2018
don_musty,Some people find joy in sadness and otherwise. ..l,,Sat Aug 04 10:43:07 +0000 2018
Nrlaini__,"RT @mxsriyatalks: the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. thing…","the more i sin, the sadder i get &amp; then i realise the only thing in this dunya i can really depend on is Allah swt. things were made haram for a reason, we think that our hearts can handle it, but they can’t. sadness is a blessing &amp; a curse.",Sat Aug 04 10:42:58 +0000 2018
fritchiealsol,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:42:55 +0000 2018
Sheyaaaaa_,RT @mxsriyatalks: i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a t…,i truly enjoy seeing people happy. may Allah swt make you all happy.. if you’re sad then be happy because there’s not a thing on Earth that’s worth your sadness.,Sat Aug 04 10:42:54 +0000 2018
danceindamage,RT @pseudopoetisch: summertime sadness https://t.co/xyHM1WpvjL,summertime sadness https://t.co/xyHM1WpvjL,Sat Aug 04 10:42:50 +0000 2018
adriyannno,RT @iambobongquotes: pls remove all this pain and sadness within myself,pls remove all this pain and sadness within myself,Sat Aug 04 10:42:47 +0000 2018
JervoneBalansay,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:42:43 +0000 2018
antonetteeeee_,"RT @talahugutan: Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you l…","Ups and downs
Smiles and frowns 
Life is a rolling wheel
Its up to you,
what to feel
Because sadness never last
When you learn 
to accept the past.

—Deejay",Sat Aug 04 10:42:42 +0000 2018
NotOurLastHuntt,RT @lucario_564: Guys this is hard but please keep using the #. We need every tweet we can get. Use this sadness and pain and turn it into…,"Guys this is hard but please keep using the #. We need every tweet we can get. Use this sadness and pain and turn it into motivation to fight for our show. To quote our beautiful Magnus Bane ""This fights far from over."" #SaveShadowhunters",Sat Aug 04 10:42:25 +0000 2018
DevlinPJ,"RT @beingbrilliant: ""Think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to chase the things you love. S…","""Think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to chase the things you love. Sometimes there is sadness on our journey, but there is also lots of beauty. We must keep putting one foot in front of the other."" - unknown

Happy weekend. https://t.co/KspZcDZbRe",Sat Aug 04 10:42:22 +0000 2018
Wave9202,"What's your biggest fear? — Death of a love one, Sadness, Despair and the feeling of being alone. https://t.co/6v5aCnX3dd",,Sat Aug 04 10:42:20 +0000 2018
wilkhim,RT @UKenyatta: It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished…,"It is with deep sadness that I learn of the untimely death of Hon. Henry Obwocha this morning. The late was a distinguished long serving public servant, lawmaker and accountant whose service to the nation will be greatly missed.",Sat Aug 04 10:42:17 +0000 2018
Fucking_Lizz,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:42:14 +0000 2018
Crybabykenzzz,"RT @effin_Ninny: @Niche4Lights @emanithegoddess like, mom &amp; baby communicate on a WHOLE new level, her DNA talks to babys DNA....she IS the…","@Niche4Lights @emanithegoddess like, mom &amp; baby communicate on a WHOLE new level, her DNA talks to babys DNA....she IS the pharmacist. WOW.

It makes sense that some mothers feel extreme sadness when no longer nursing, that initial line of communication will end as their baby grows.
#NursingMomNutrition https://t.co/ur4KMkBkP4",Sat Aug 04 10:42:08 +0000 2018
avxlerie,save me from my sadness,,Sat Aug 04 10:42:07 +0000 2018
btsoutsoldyou,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:42:07 +0000 2018
NicoleLessBS,"Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",,Sat Aug 04 10:42:05 +0000 2018
MirrorOfMirrors,"sadness and grief seem to get mellower with age and experience, like a deep sonorous fermata bass note rather than a full on fortissimo arpeggio.",,Sat Aug 04 10:41:49 +0000 2018
dj_holiboi,RT @WomenOfHistory: I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness.,Sat Aug 04 10:41:49 +0000 2018
_krissscacao,"u know the moment when u suddenly feel anxious bout 'something' but u rather become sad and feel the moment of silence and sadness even tho u don't know what was that 'something'. yeah, same sameee lmao",,Sat Aug 04 10:41:40 +0000 2018
MangalindanB,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:41:34 +0000 2018
icychellie,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:41:33 +0000 2018
KrisTheGrump,"RT @ShabaNabi: @arvindmadan @MarkSanfordWood
@rvautrey
@HelenRCGP
@BMA_GP
@cgps_gp

No - I am not pleased. I am bloody furious.

I am griev…","@arvindmadan @MarkSanfordWood
@rvautrey
@HelenRCGP
@BMA_GP
@cgps_gp

No - I am not pleased. I am bloody furious.

I am grieving with denial, anger and sadness, but never acceptance.

GPs should be ‘pleased’ when small practices close, suggests NHS's top GP https://t.co/gjr5kg6hrN",Sat Aug 04 10:41:33 +0000 2018
NEW_EGYPTIANA,"فيه حاجات ماحدش بيبقى ليه أيد فيها بتبقى جزء منه حتى لو هو مش حاببها و ده اكيد يعنى sensitivity,insecurity,mood swings و اهم حاجة ال sadness بطريقة او ب تانية الحاجات ديه بيبقى بيها علاقة ببعض او مترتبة على ايا كان ماحدش برضو بيبقى ليه أيد فيها مش عارف تتعامل~",,Sat Aug 04 10:41:28 +0000 2018
FS_smk,@Dear_sadness_ 나도 당원인데 왜 여론조사 안오냐 더민주 일 안 하냐,,Sat Aug 04 10:41:22 +0000 2018
Superyaaan,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:41:21 +0000 2018
Sadness_ra,@iS4LEM نفس ردة فعلي والله 😭😭😂,,Sat Aug 04 10:41:17 +0000 2018
lilyoongs_,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:41:07 +0000 2018
MasterNherheee,turn sadness to happiness,,Sat Aug 04 10:41:05 +0000 2018
jojoawana,"RT @RICHASRIKSONI: Life is IRONIC.
It takes Sadness to know what Happiness is.
Noise to appreciate Silence.
And Absence to value Presence.…","Life is IRONIC.
It takes Sadness to know what Happiness is.
Noise to appreciate Silence.
And Absence to value Presence.
Good night
Jai Shri Krishna 🙏🏻",Sat Aug 04 10:41:01 +0000 2018
shadowhuntersby,RT @lucario_564: Guys this is hard but please keep using the #. We need every tweet we can get. Use this sadness and pain and turn it into…,"Guys this is hard but please keep using the #. We need every tweet we can get. Use this sadness and pain and turn it into motivation to fight for our show. To quote our beautiful Magnus Bane ""This fights far from over."" #SaveShadowhunters",Sat Aug 04 10:40:56 +0000 2018
sherdeeep,"RT @shashiraj89: Depression isn't always sadness, it can also be emptiness, anger, tiredness or loneliness, sometimes a cry for help isn't…","Depression isn't always sadness, it can also be emptiness, anger, tiredness or loneliness, sometimes a cry for help isn't so visible.",Sat Aug 04 10:40:55 +0000 2018
Yar_adua,RT @FolllowSunnah: Allahﷻ is the reason why even in sadness I smile even in confusion I understand even in betrayal I trust even in pain I…,"Allahﷻ is the reason why even in sadness I smile even in confusion I understand even in betrayal I trust even in pain I love...
Dear Allahﷻ, thank you for this beautiful life, and forgive me for everything that I have done wrong.",Sat Aug 04 10:40:49 +0000 2018
RenlynKayee,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:40:48 +0000 2018
laurynafia,"RT @effin_Ninny: @Niche4Lights @emanithegoddess like, mom &amp; baby communicate on a WHOLE new level, her DNA talks to babys DNA....she IS the…","@Niche4Lights @emanithegoddess like, mom &amp; baby communicate on a WHOLE new level, her DNA talks to babys DNA....she IS the pharmacist. WOW.

It makes sense that some mothers feel extreme sadness when no longer nursing, that initial line of communication will end as their baby grows.
#NursingMomNutrition https://t.co/ur4KMkBkP4",Sat Aug 04 10:40:47 +0000 2018
FS_smk,@Dear_sadness_ 와 시바 개멋있다...간지 개굿임 제복 화이트인거 솔직히 실사용 생각하면 빡치긴 하지만 입으니까 개간지 오짐 모자까지 간지 오져;;;,,Sat Aug 04 10:40:47 +0000 2018
TrafalgarPippa,RT @LUNARYOONIE: his smile can erase all the sadness and pain in your life in just one snap https://t.co/zzfLUrx1V6,his smile can erase all the sadness and pain in your life in just one snap https://t.co/zzfLUrx1V6,Sat Aug 04 10:40:45 +0000 2018
ItsMrTree,sadness with a natural column,,Sat Aug 04 10:40:45 +0000 2018
lydrsdnc_,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:40:24 +0000 2018
j_chuayeon,RT @tiramistal: @j_chuayeon Iya emang harus bahagia doongg. Say no to sadness and pathetic,@j_chuayeon Iya emang harus bahagia doongg. Say no to sadness and pathetic,Sat Aug 04 10:40:23 +0000 2018
Lrm_29,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:40:18 +0000 2018
DeadbeatEntity,"@SassyHealer “Which I apologise for, I’m far too busy arguing with Lucifer or Michael.”

Chuck gave a small sigh, almost filled with sadness.

“Michael and Lucifer intend on killing me.”",,Sat Aug 04 10:40:16 +0000 2018
peachyharu,I would just want to hug them and say that everything gonna work out and that they gonna be seeing eachother multiple times in the future and that they all will be successful together just to take a little bit of their worries and sadness away. I'm shedding happy tears T.T💛💙 https://t.co/on1kRTFqJh,,Sat Aug 04 10:40:13 +0000 2018
namjoongistrash,"Taehyung closed his eyes and a bunch of tears fell from his eyes. He sobbed as he held the letter. The whole day, Taehyung's house was again filled with emptiness, loneliness and sadness.

- - - - - - - - - - - - - -",,Sat Aug 04 10:40:09 +0000 2018
kylasdfghjklovr,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:40:09 +0000 2018
imtallbutpopoff,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:40:07 +0000 2018
ed_sadness,"RT @prideykt: 🏴4-го августа (Суббота)
🏨Место: Mix Hall
📍Адрес: Кирова 18а
🕰Начало: 23:00 pm
💵Вход: 500₽ \300₽ с ретвитом https://t.co/PnSP9…","🏴4-го августа (Суббота)
🏨Место: Mix Hall
📍Адрес: Кирова 18а
🕰Начало: 23:00 pm
💵Вход: 500₽ \300₽ с ретвитом https://t.co/PnSP96yCyR",Sat Aug 04 10:39:52 +0000 2018
HealthyFamilyCo,"Unity is Key in Family.....

Unity is Realized when you Share Joy and Sadness with others. The Love of a Mother or Father is able to bring oneness of Heart and Mind. 

Enjoy the Weekend and Bring Comfort to Your Children Today Everyone.....",,Sat Aug 04 10:39:51 +0000 2018
courtneelewisb,RT @peedekaf: even kid cudi's humming couldn't soothe this sadness :(,even kid cudi's humming couldn't soothe this sadness :(,Sat Aug 04 10:39:49 +0000 2018
darlenejimin,"RT @Lambertozxc: Hey august, no more sadness pls?","Hey august, no more sadness pls?",Sat Aug 04 10:39:49 +0000 2018
Merrissa_W,"RT @AgainstSuicide: You're stronger. 
You're stronger than your illness. 
You're stronger than your demons. 
You're stronger than your sadn…","You're stronger. 
You're stronger than your illness. 
You're stronger than your demons. 
You're stronger than your sadness.
You're stronger than your bad days. 
You're stronger than you think.",Sat Aug 04 10:39:37 +0000 2018
pseudopoetisch,summertime sadness https://t.co/xyHM1WpvjL,,Sat Aug 04 10:39:25 +0000 2018
itchynesss,"Sadness overload.. 😭
#MeteorGarden2018 #Episode22 https://t.co/RSj4U8RomJ",,Sat Aug 04 10:39:16 +0000 2018
GrathSue,"RT @TheAtlantic: The enduring power of Amy Winehouse's 'Back to Black,' by Spencer Kornhaber https://t.co/wKUcmqf2Y4 https://t.co/h64iHg3itW","The enduring power of Amy Winehouse's 'Back to Black,' by Spencer Kornhaber https://t.co/wKUcmqf2Y4 https://t.co/h64iHg3itW",Sat Aug 04 10:39:07 +0000 2018
john_reeeyyy,What's your biggest fear? — When my happiness turned into disappointment and sadness :&lt;&lt; https://t.co/bqknNVBV1r,,Sat Aug 04 10:39:03 +0000 2018
maria14079,RT @serendipityunki: Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Yoongi’s gummy smile to erase your sadness https://t.co/AU2kwbWdl6,Sat Aug 04 10:39:01 +0000 2018
BusiswaMrasi,RT @Simbagozo: Rejection is a strange emotion it creates anger and sadness at once and it creates doubt of ones ability... I say so what th…,Rejection is a strange emotion it creates anger and sadness at once and it creates doubt of ones ability... I say so what they rejected you not everyone is going to say yes to you or accept you and that’s ok so be happy and keep moving forward 😁 https://t.co/qTiPEIu7YS,Sat Aug 04 10:38:58 +0000 2018
chkyunsbf,im still...... not gonna accept that i have the right to miss him. i think this is a different kind of sadness and pain than most people experience bc i missed out on... everything. yk? i never got to know him and i never really will,,Sat Aug 04 10:38:54 +0000 2018
Beeyd__,RT @nooraskalthani: Summertime sadness is real thing I’m praying for all u sad bitches,Summertime sadness is real thing I’m praying for all u sad bitches,Sat Aug 04 10:38:51 +0000 2018
YoSteezySteph,"RT @itstaytorres: Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too…","Depression isn’t always suicidal thoughts, and loneliness, and unending sadness. Sometimes it’s sleeping too much or too little. Not wanting to eat or take care of your body. It’s a lack of motivation once there. A dislike in your own interests.",Sat Aug 04 10:38:50 +0000 2018
254_curtis,"RT @Fact: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:38:49 +0000 2018
closptr,RT @lanadelpeaches: Summertime sadness🌹 https://t.co/lHDft8oN1a,Summertime sadness🌹 https://t.co/lHDft8oN1a,Sat Aug 04 10:38:43 +0000 2018
mslilbitz15,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:38:40 +0000 2018
kimoutputs,"RT @myshortpoems: HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always…","HER

She smiles even though she's in pain
She laugh even though she's always crying
No one notice her sadness
She always hides it in her mask

GRACE",Sat Aug 04 10:38:30 +0000 2018
Pada1r,"@dodgecharger68r @zanderzootPWi @BBCNews You can ask him when you stand before him, but IMO in God's infinite &amp; eternal mercy those afflicted will spend eternity in God's love free from pain, worry &amp; sadness - whilst those responsible for tragedy will spend eternity in torment &amp; pain. There lies God's ultimate justice.",,Sat Aug 04 10:38:18 +0000 2018
queenkeeiii,RT @anneyeonghaseox: A kind of sadness only God can comfort,A kind of sadness only God can comfort,Sat Aug 04 10:38:17 +0000 2018
Letcia_Sadness,RT @45secondsRap: Matuê - Quem Manda é a 30 (Legendado) https://t.co/51ckvV5Q6l,Matuê - Quem Manda é a 30 (Legendado) https://t.co/51ckvV5Q6l,Sat Aug 04 10:38:15 +0000 2018
rainrose024,"RT @DavidRoads: Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.","Sometimes it takes sadness to know happiness, noise to appreciate silence and absence to value presence.",Sat Aug 04 10:38:14 +0000 2018
eleabsdn,RT @lanadelpeaches: Summertime sadness🌹 https://t.co/lHDft8oN1a,Summertime sadness🌹 https://t.co/lHDft8oN1a,Sat Aug 04 10:38:14 +0000 2018
asyraf_mbr416,"That moment of happiness when you know your right, and there is that moment of sadness when you wish you were wrong...",,Sat Aug 04 10:38:10 +0000 2018
chillechurch,music could kill my sadness,,Sat Aug 04 10:38:01 +0000 2018
SzyCmpll,RT @sadpapizey: A DAY WITHOUT SADNESS PLEASE!!!!,A DAY WITHOUT SADNESS PLEASE!!!!,Sat Aug 04 10:37:52 +0000 2018
poemsbysaida,"Being without you
After a glimpse of your love
Brought forth excruciating pain
An unfathomable sadness
Of such I had never known
Yet I would suffer it 100 fold
If I knew it would lead me
To your embrace

🖤

#love #loss #heartbreak #poem",,Sat Aug 04 10:37:51 +0000 2018
itstacey_12,RT @VMiguelG: You save other people from sadness but no one saves you.,You save other people from sadness but no one saves you.,Sat Aug 04 10:37:36 +0000 2018
heartshookt,"RT @twice_convos: chaeyoung: i need drugs to help me get over my sadness 
jihyo: i’m taking it away
chaeyoung: ᵇᵘᵗ ᵐʸ ᵈʳᵘᵍˢ
jihyo: you’re o…","chaeyoung: i need drugs to help me get over my sadness 
jihyo: i’m taking it away
chaeyoung: ᵇᵘᵗ ᵐʸ ᵈʳᵘᵍˢ
jihyo: you’re on your 6th box of tic tac",Sat Aug 04 10:37:31 +0000 2018
