Tim70774497,I'm raising money for Carr fire . Click to Donate:  https://t.co/n0Z0jl0I9a via @gofundme,,Sat Aug 04 07:33:36 +0000 2018
CTVVancouver,Money raised after a woman died in a B.C. fire never made it to her family. So where did the cash go? The fundraiser's organizer is blaming the CRA.  https://t.co/fhrK7ldiig,,Thu Aug 23 00:45:57 +0000 2018
spokanetom,RT @safeagain1: @cathymcmorris and trump and gop are helping ..they are covering for him.  At a fundraiser for Cathy it was made apparent t…,"@cathymcmorris and trump and gop are helping ..they are covering for him.  At a fundraiser for Cathy it was made apparent that the @GOP plan is to rush #SCOTUS in..then fire #Rosenstein to maintain their power.  Otherwise as Nunes said ""all of this"" will be gone #TrumpGOPTreason #mueller https://t.co/2WEYei1F8s",Thu Aug 23 00:32:10 +0000 2018
foggybottomgal,"Soccer's Rapinoe wants to raise $100,000 for Carr Fire recovery, invites residents to game https://t.co/wPZZzMIp2M via @USATODAY",,Wed Aug 22 23:54:17 +0000 2018
ken_linsley,RT @OFDCHIEF: Don't forget tomorrow bbq and fundraiser for a new fire hall! 11am - 130pm. Come grab a burger! https://t.co/FTm0JuqhX4,Don't forget tomorrow bbq and fundraiser for a new fire hall! 11am - 130pm. Come grab a burger! https://t.co/FTm0JuqhX4,Wed Aug 22 23:30:21 +0000 2018
KIMTNews3,Fundraising confusion in Clear Lake. https://t.co/qSmxLq2PHg,,Wed Aug 22 23:30:06 +0000 2018
EMT4333,RT @NYCEMSwatch: “We don’t want to see another Fireman have to make a decision to burn to death or jump out of a window.” - Joey DiBernardo…,"“We don’t want to see another Fireman have to make a decision to burn to death or jump out of a window.” - Joey DiBernardo, who lost his FDNY Firefighter son after one of the deadliest fires in FDNY history https://t.co/SEtLbyevrw",Wed Aug 22 23:24:22 +0000 2018
NYCEMSwatch,"“We don’t want to see another Fireman have to make a decision to burn to death or jump out of a window.” - Joey DiBernardo, who lost his FDNY Firefighter son after one of the deadliest fires in FDNY history https://t.co/SEtLbyevrw",,Wed Aug 22 22:57:00 +0000 2018
SMSalemRCS,"Fire Trucks AND Pancakes...Count us in!! Plus, this is a great fundraiser for the Fire Museum Building! https://t.co/FBxJBEShbl",,Wed Aug 22 22:51:01 +0000 2018
melindagroth,"RT @BreakingNews_RS: As of 4 p.m. Tuesday, the U.S. soccer icon's fundraiser had already brought in more than $10,000 with the help of the…","As of 4 p.m. Tuesday, the U.S. soccer icon's fundraiser had already brought in more than $10,000 with the help of the Shasta Regional Community Foundation. 

https://t.co/xaHejYANyc",Wed Aug 22 22:33:08 +0000 2018
FernanditaRR,Carr Fire Relief Fundraiser please join me in getting this devastated community back on its feet! https://t.co/uyUF1NiOKK …https://t.co/HfpWC57r1r https://t.co/wyHJEUuaOg https://t.co/wriVvvRyRf,,Wed Aug 22 22:01:05 +0000 2018
onenightcharity,Some great info and love from Good Day Sacramento this morning. Thank you for loving us spread the good word. https://t.co/O037OtmaFD,,Wed Aug 22 20:47:28 +0000 2018
mlcuppini62,"If you can not participate in what seems to be a very interesting and entertaining evening, but you still want to support these wonderful artists ... you can do it with a donation.
Below you will find the link ...
https://t.co/lFlcUvttFC
Or go to @RaineHozierByrn account https://t.co/4aspbe7MMj",,Wed Aug 22 20:11:37 +0000 2018
rinarinaa03,My sister Jamie and neices apartments building caught fire 2 night ago and they lost everything. There will be a fundraiser on Saturday August 25th at 2120 Edison Dr. from 11am to 7pm to help them if anyone would love to buy a BBQ chicken and Sausage plate for 7$.,,Wed Aug 22 19:26:24 +0000 2018
Yurmom31,"Even soccer stars have taken notice of the devastating impact of the #CarrFire here in Redding, CA....
(Yes, Rapinoe is from Shasta County....)
https://t.co/u8yepgretg",,Wed Aug 22 19:04:14 +0000 2018
volunteeretn,Put your best boot 👢forward and VOLUNTEER with Seymour Volunteer Fire Department at their Boot Drive-Road Block fundraiser. 🚒 🚨https://t.co/rZoswy5a8o https://t.co/LSHSseu5eP,,Wed Aug 22 19:00:17 +0000 2018
visavisevents,Coffee + Meeting = Success. ☺Finalizing the event details for Ottawa Fire Truck Pull for October 28th. #eventplanning #events #eventplanner #fundraiser #LetsPullTogetherOttawa #love @… https://t.co/syJ7p0nvFD,,Wed Aug 22 17:17:27 +0000 2018
presleyntaylor,Thank you Le Grand fire and EMS for letting us be a part of this fundraiser! It was a joy to play for y’all 💗 special thanks to Melissa for reaching out and bringing us to her event! https://t.co/xDnGRrtRb1,,Wed Aug 22 17:14:47 +0000 2018
boveyonline,"RT @DSFireUpdates: Date for your diary! Tickets selling fast, for the #BoveyTracey  Fire Station #Charity fundraiser! Dance the night away…","Date for your diary! Tickets selling fast, for the #BoveyTracey  Fire Station #Charity fundraiser! Dance the night away on September 1. Don’t be disappointed and miss out on a great night. #Devon https://t.co/XTj6XajLr7",Wed Aug 22 15:31:03 +0000 2018
EdibleSB,"ONLINE @gofundme FUNDRAISER TO HELP ‘LA BODEGUITA’ REBUILD
Popular East Side Market Gutted by Late Night Fire
https://t.co/DMIWxTvVL0  
For the 40 years Mr. Lomeli has been building his clientele in #SantaBarbara 

cc: @KEYTNC3 @KEYTNC3Alys @RepCarbajal https://t.co/YueIVs9cYd",,Wed Aug 22 14:30:32 +0000 2018
poudreflows,"NOTE- Join us for the Annual Pig Roast/Fundraiser for the Poudre Canyon Fire Protection District at the Swing Station this Saturday. Party starts at 3pm- Pig Served at 5pm! Live music, Great Beverages,... https://t.co/x4mi20m7E3",,Wed Aug 22 14:26:28 +0000 2018
Alanna_4th,"RT @RaineHozierByrn: On the 20th February, Outpost Studios, creative home to eight visual artists, burnt to the ground. I personally lost o…","On the 20th February, Outpost Studios, creative home to eight visual artists, burnt to the ground. I personally lost over 30 years of work. We have begun a fundraising campaign to help replace all that can be replaced. If you can, please consider donating; https://t.co/m83SG6HlxZ",Wed Aug 22 14:02:10 +0000 2018
MrKPalmer,RT @crazycatz2013: Abbott under fire: Labour DEFENDS Shadow Home Sec over transgender event row  https://t.co/Un0IZzJOxI,Abbott under fire: Labour DEFENDS Shadow Home Sec over transgender event row  https://t.co/Un0IZzJOxI,Wed Aug 22 13:45:56 +0000 2018
DSFireUpdates,"Date for your diary! Tickets selling fast, for the #BoveyTracey  Fire Station #Charity fundraiser! Dance the night away on September 1. Don’t be disappointed and miss out on a great night. #Devon https://t.co/XTj6XajLr7",,Wed Aug 22 13:43:38 +0000 2018
crazycatz2013,Abbott under fire: Labour DEFENDS Shadow Home Sec over transgender event row  https://t.co/Un0IZzJOxI,,Wed Aug 22 13:38:27 +0000 2018
RaineHozierByrn,"Get your tickets for our night of comedy and music on the 8th of September, check out:  https://t.co/VahCCU24pc",,Wed Aug 22 13:08:49 +0000 2018
curtisnaulder,@Briana_Lee_xx @fansbrianalee You can call it the Briana Lee fundraiser for fire victims Fight Fire with Briana Lee fire and help the needy,,Wed Aug 22 12:17:35 +0000 2018
CDSCOPE,"NRA Fundraiser, Gun Raffle Draws Fire From Community https://t.co/UtDJ3ju3W2",,Wed Aug 22 10:11:45 +0000 2018
ChrisSmith164,"@ConstatoAsirvex @HoIdMyBeaker @EarnKnowledge It's nice to have quiet neighbor kids.  A ball over the fence, school fundraiser here &amp; there.  Just how many times you think Fire Dept. visits his neighborhood.  Good kid, just glad he's not next door to me.",,Wed Aug 22 08:35:35 +0000 2018
RachaelLeah707,RT @DiversityInc: #NathansHotDogs Under Fire After Exec Chairman #Lorber Hosts #Trump Fundraiser https://t.co/YTjxNZxfId,#NathansHotDogs Under Fire After Exec Chairman #Lorber Hosts #Trump Fundraiser https://t.co/YTjxNZxfId,Wed Aug 22 04:19:31 +0000 2018
MiracleBabies,"***COMMUNITY FUNDRAISER HIGHLIGHT***
Earlier in the year, Adrian from CFA (Country Fire Authority) in Victoria contacted our Foundation regarding his colleague Jenny who is a CFA member working in the 000 call centre with... https://t.co/8tDBD6mPvZ",,Wed Aug 22 04:02:37 +0000 2018
flatfaceddog,"@mPinoe Just returned from Livermore, CA where they held a fundraiser for Carr Fire victims at sweet coffee shop named Rosellas. We were happy to donate. Hope it helps",,Wed Aug 22 01:15:15 +0000 2018
JarrellStarLedg,Bartlett Fundraiser. Always pays to support the Fire Department! These are our real heros. https://t.co/gJl8UczI7r,,Wed Aug 22 00:39:11 +0000 2018
BreakingNews_RS,"As of 4 p.m. Tuesday, the U.S. soccer icon's fundraiser had already brought in more than $10,000 with the help of the Shasta Regional Community Foundation. 

https://t.co/xaHejYANyc",,Wed Aug 22 00:07:26 +0000 2018
BestCrowdFundng,"Help me raise support as a Missionary: This is a fundraiser for raising money to live as a Missionary in São Paulo. I’ll be serving here, organizing the details for the next Fire &amp; Fragrance DTS 2019, and also i’ll be t.. https://t.co/IreXPPBA4I https://t.co/BbW7Fju1Ac",,Wed Aug 22 00:05:05 +0000 2018
DemocraticDude,"RT @joncoopertweets: Trump Foe Michael Avenatti Getting Serious About 2020 Presidential Bid, As He Makes A Visit To New Hampshire

'I belie…","Trump Foe Michael Avenatti Getting Serious About 2020 Presidential Bid, As He Makes A Visit To New Hampshire

'I believe that our party, the Democratic Party, must be a party that fights fire w/ fire,' Avenatti said on Sunday at a NH Democratic fundraiser. https://t.co/sAXY16MRbx",Tue Aug 21 23:43:18 +0000 2018
tberneski,"Wouldn't you think it would be a good idea to ensure the departments are contacted before making the following statement? ""Bohms thinks local fire departments will be less suspicious of his group once they learn more about it"" https://t.co/qjhSZ1jrWR",,Tue Aug 21 22:45:43 +0000 2018
_ShaneEdmundson,"Carr Fire Relief Fundraiser, Please join in getting this devastated community back on its feet! https://t.co/xmFwXnq2Vr",,Tue Aug 21 21:31:15 +0000 2018
_ShaneEdmundson,RT @mPinoe: Carr Fire Relief Fundraiser please join me in getting this devastated community back on its feet! ???? https://t.co/xmFwXnHDMZ,,Tue Aug 21 21:30:32 +0000 2018
MollyONeillYoga,"R A I N D A N C E 💧💧💧
My regular Friday 515 class onedowndog this week will be a fundraiser for Shasta County residents affected by the Carr Fire. This devastating wildfire has burned… https://t.co/9lcFx54lTD",,Tue Aug 21 21:18:22 +0000 2018
MassapequaPatch,"NRA Fundraiser, Gun Raffle Draws Fire From Community https://t.co/Kmdo7OJwku",,Tue Aug 21 20:47:01 +0000 2018
BayShorePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/4OWTMAIfht,,Tue Aug 21 20:41:54 +0000 2018
WestIslipPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/T89F5x8MzS,,Tue Aug 21 20:38:58 +0000 2018
HauppaugePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/Zhkd9WdOJ1,,Tue Aug 21 20:38:58 +0000 2018
NorthForkPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/I2IzUX3bTf,,Tue Aug 21 20:38:58 +0000 2018
CommackPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/hg34FsYxtD,,Tue Aug 21 20:37:21 +0000 2018
SachemPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/AWpD0iZNDN,,Tue Aug 21 20:34:52 +0000 2018
RiverheadPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/DzAeY7jfX9,,Tue Aug 21 20:34:28 +0000 2018
SayvillePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/tbDZmfdQ4r,,Tue Aug 21 20:34:28 +0000 2018
portjeffpatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/GuJROYdbgy,,Tue Aug 21 20:34:27 +0000 2018
PatchoguePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/EcskSFfqeR,,Tue Aug 21 20:34:27 +0000 2018
SohamptonPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/tQ0QgUczht,,Tue Aug 21 20:34:27 +0000 2018
SmithtownPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/nmWaPAiEJv,,Tue Aug 21 20:34:27 +0000 2018
HHHillsPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/OlynQlkDrt,,Tue Aug 21 20:34:25 +0000 2018
HuntingtonPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/KKWtqWA9WO,,Tue Aug 21 20:34:25 +0000 2018
LindyPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/6hdlu4oY19,,Tue Aug 21 20:34:25 +0000 2018
MedfordNYPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/pVWPf4l2BN,,Tue Aug 21 20:34:25 +0000 2018
BabylonVPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/lHmk0fDBCv,,Tue Aug 21 20:32:57 +0000 2018
3VillagePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/oLbiDChCx4,,Tue Aug 21 20:30:28 +0000 2018
MPRPPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/WvpZCa97Ha,,Tue Aug 21 20:30:12 +0000 2018
MontaukPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/3aUOVdqmpv,,Tue Aug 21 20:25:57 +0000 2018
DalerPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/LGCp8ecfIa,,Tue Aug 21 20:17:09 +0000 2018
EastMeadowPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/3BQRGkndwn,,Tue Aug 21 20:17:09 +0000 2018
LongBeachPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/MSonjlfUn3,,Tue Aug 21 20:11:57 +0000 2018
longislandpatch,RT @gardencitypatch: The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. ht…,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/eNopGtUjt5,Tue Aug 21 20:07:33 +0000 2018
WSPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/BBI1G1BXDl,,Tue Aug 21 20:07:14 +0000 2018
RockCentrePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/Mljo9z6Ys5,,Tue Aug 21 20:07:14 +0000 2018
SyossetPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/708o97pc7v,,Tue Aug 21 20:07:14 +0000 2018
NewHydePkPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/PUeWlU63sm,,Tue Aug 21 20:07:12 +0000 2018
OysterBayPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/5lKDGs1AQF,,Tue Aug 21 20:07:12 +0000 2018
MineolaPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/FRYItMaZuv,,Tue Aug 21 20:07:11 +0000 2018
HicksvillePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/2yOfNrszmX,,Tue Aug 21 20:07:11 +0000 2018
MerrickPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/yw4zcUQVTe,,Tue Aug 21 20:07:11 +0000 2018
MalverneWHPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/MhaGG6DXfY,,Tue Aug 21 20:07:11 +0000 2018
gardencitypatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/eNopGtUjt5,,Tue Aug 21 20:07:09 +0000 2018
GreatNeckPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/mTdi4mxRxK,,Tue Aug 21 20:07:09 +0000 2018
FiveTownsPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/DAn9Ed74N4,,Tue Aug 21 20:06:55 +0000 2018
BellmorePatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/CFYDiSBRHe,,Tue Aug 21 20:05:23 +0000 2018
PlainviewPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/eB0zA8KAGN,,Tue Aug 21 20:01:49 +0000 2018
PortPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/ULL3wgu1tH,,Tue Aug 21 20:01:49 +0000 2018
FreeportPatch,The September fundraiser will be auctioning and raffling off weapons. But neighbors are up in arms about the event. https://t.co/CElzw9fUEj,,Tue Aug 21 20:01:45 +0000 2018
KCBD11,Woodrow fire teams up with Domino's for fundraiser to build second station https://t.co/SRBbkntHJN https://t.co/0qfrCSjfm9,,Tue Aug 21 20:00:10 +0000 2018
JulieFoudy,Please share share share people and let's help Pino spread the love for the Carr Fire Relief Fundraiser... 👇🏽 https://t.co/IJu5t8WYJa,,Tue Aug 21 19:30:34 +0000 2018
mPinoe,Carr Fire Relief Fundraiser please join me in getting this devastated community back on its feet! ❤️🙏 https://t.co/WM5MOYfAXD https://t.co/9QfoSz55cU,,Tue Aug 21 18:59:29 +0000 2018
tate0532,Kaylee’s fundraiser for the Gastonia Fire Dept.  Message me if you would like to donate a Herbie!! https://t.co/jviZLdlqC8,,Tue Aug 21 18:42:42 +0000 2018
8otb,Fire Trucks &amp; Trains- A Fundraiser for the Pohatcong Volunteer FD https://t.co/iY9Awyw4zg https://t.co/57cokHA24C,,Tue Aug 21 18:28:08 +0000 2018
nyswths,Fire Trucks &amp; Trains- A Fundraiser for the Pohatcong Volunteer FD https://t.co/Ke8FcL8nF3 https://t.co/EakjkXnSwT,,Tue Aug 21 18:28:07 +0000 2018
OFDCHIEF,Don't forget tomorrow bbq and fundraiser for a new fire hall! 11am - 130pm. Come grab a burger! https://t.co/FTm0JuqhX4,,Tue Aug 21 18:23:31 +0000 2018
JesyQ,"RT @KUSI_GMSD: SD #firefighters need your help!

Friends of Del Cerro and @sdfirerescue are holding a fundraiser for firefighting equipment…","SD #firefighters need your help!

Friends of Del Cerro and @sdfirerescue are holding a fundraiser for firefighting equipment: https://t.co/qpNgbuWnX3
@EAlvarezKUSI @CityofSanDiego https://t.co/C0PBJl3EdM",Tue Aug 21 16:34:18 +0000 2018
NeedvilleVFD,Bidding Hot and Heavy at the Needville Fire Dept. Annual Fundraiser. https://t.co/1rMB5CAydZ,,Tue Aug 21 15:49:40 +0000 2018
KUSI_GMSD,"SD #firefighters need your help!

Friends of Del Cerro and @sdfirerescue are holding a fundraiser for firefighting equipment: https://t.co/qpNgbuWnX3
@EAlvarezKUSI @CityofSanDiego https://t.co/C0PBJl3EdM",,Tue Aug 21 15:43:59 +0000 2018
ProvoPolice,"This year, instead of the traditional Guns n' Hoses Charity Football Fundraiser, we are hosting a golf tournament with Provo Fire Department.  All proceeds will be donated to Wasatch… https://t.co/WQxh9Imtuv",,Tue Aug 21 15:12:13 +0000 2018
iamterriwinston,GOLFERS AND FRIENDS COME OUT AND SUPPORT A GREAT CAUSE FUNDRAISER GOES TO THE KIDS IN THE BLACK FIRE BRIGADE EMT PROGRAM 🏌🏿‍♀️🏌🏿‍♀️🏌🏿‍♀️🏌🏿‍♀️🏌🏿‍♀️🏌🏿‍♀️🏌🏿‍♀️  @blackfirebrigad https://t.co/fagHjLvj93,,Tue Aug 21 15:04:46 +0000 2018
DiversityInc,#NathansHotDogs Under Fire After Exec Chairman #Lorber Hosts #Trump Fundraiser https://t.co/YTjxNZxfId,,Tue Aug 21 11:57:26 +0000 2018
EllenDibble,Watching Michael Avenatti Remarks at New Hampshire Democratic Fundraiser @CSPAN https://t.co/NoB2MbTRBE,,Tue Aug 21 11:32:34 +0000 2018
BostonFireGear,Thanks to Biddeford Career Firefighters IAFF Local 3107 for selecting Boston Fire Gear to print the tee's for their recent fundraiser with Dirigo Brewing Company. We truly appreciate your loyal business and look forward to working together in the future.  @BiddMEFire @dirigobeer https://t.co/Yx15utJV5Y,,Tue Aug 21 01:14:03 +0000 2018
trials4now,Highly recommend everyone listen to this @MichaelAvenatti  speech. So powerful and inspiring! Watching Michael Avenatti Remarks at New Hampshire Democratic Fundraiser @CSPAN https://t.co/GXBZ8MyewB #FBR,,Tue Aug 21 00:12:41 +0000 2018
JimmyKawalek,"RT @NVRartsnlife: The Salvation Army of Napa Valley hosts Out of the Fire, a benefit supporting its Napa Valley Culinary Training Academy a…","The Salvation Army of Napa Valley hosts Out of the Fire, a benefit supporting its Napa Valley Culinary Training Academy at 5:30 p.m. on Thursday, Aug. 23, at The Grove at Silverado Resort. https://t.co/GfY5cQrqs2",Mon Aug 20 23:23:05 +0000 2018
1JudithWhite,I've #justdonated to Rock Diabetes - Fire &amp; Forge Festival Charity Fundraiser. Donate on @justgiving and help raise £500 https://t.co/sGMnOO48jd,,Mon Aug 20 21:44:02 +0000 2018
NOHShospice,"A great BIG thank you goes out to Butcher Boys, BX Swan Lake Fire Department and many others who took part in their 10th Annual Chris Huculak Memorial Fundraiser for Hospice! They raised $18,500 for us and we are so grateful! https://t.co/1dnU8fPwUD",,Mon Aug 20 20:43:42 +0000 2018
PHMPAMERICA,"Top Republican Fundraiser Under Investigation For Corruption

The Ring of Fire
Published on Aug 20, 2018

Elliott Broidy, a top Republican fundraiser and former deputy finance chair for the Republican Party, is under investigation…https://t.co/rWyevxHVFl https://t.co/ZIe0P4QlIz",,Mon Aug 20 18:14:10 +0000 2018
joncoopertweets,"Trump Foe Michael Avenatti Getting Serious About 2020 Presidential Bid, As He Makes A Visit To New Hampshire

'I believe that our party, the Democratic Party, must be a party that fights fire w/ fire,' Avenatti said on Sunday at a NH Democratic fundraiser. https://t.co/sAXY16MRbx",,Mon Aug 20 16:12:50 +0000 2018
SFStateLCA,"RT @SFSU: GIVING BACK: Styx guitarist Ricky Phillips, a former #SFSU student, is holding a fundraiser for victims of the #CarrFire in his h…","GIVING BACK: Styx guitarist Ricky Phillips, a former #SFSU student, is holding a fundraiser for victims of the #CarrFire in his hometown Redding, which was devastated by the blaze. https://t.co/OaYhaiivN6 https://t.co/S84kJ3CaDa",Mon Aug 20 15:51:06 +0000 2018
netouhey,".@MichaelAvenatti addresses New Hampshire Democrats, urges them to ""fight fire with fire"" in upcoming elections. https://t.co/vYtVEChOB0 … @cspan video https://t.co/HcprF1J4pK",,Mon Aug 20 15:29:35 +0000 2018
RaiseDough,"If only we could make our posts scratch-n-sniff! 
These are headed to VCHS Choir &amp; Franklin Police &amp; Fire HS. Do you have your fundraiser dates set? Sign up link in bio! https://t.co/BClW6NnMuU",,Mon Aug 20 14:55:04 +0000 2018
wagon_fire,"RT @fawfulfan: Congratulations, @originalnathans. You just got your hot dogs banned from my house. https://t.co/NWDtFSh2xh","Congratulations, @originalnathans. You just got your hot dogs banned from my house. https://t.co/NWDtFSh2xh",Mon Aug 20 13:46:48 +0000 2018
paintbluecat,I donated to 'Outpost Studios - Fire Fundraiser' #CanYouHelp -  https://t.co/vVrVorof9Q via @gofundme,,Mon Aug 20 13:37:09 +0000 2018
NeedvilleVFD,"The Needville Fire Dept. would like to thank all of our Awesome supporters, helpers and members for a Great day at our Annual Fundraiser the funds we received will help us continue to provide our community... https://t.co/jHg3yi8k1X",,Mon Aug 20 11:55:14 +0000 2018
PaddySweeney12,RT @JonTolleyTweets: #onthisday 8 years ago we held the fundraiser for those affected by the fire at Madingley on the Cambridge Estate... h…,#onthisday 8 years ago we held the fundraiser for those affected by the fire at Madingley on the Cambridge Estate... https://t.co/sfKTSzMzCC,Mon Aug 20 07:37:03 +0000 2018
ryanmitchellb,"Awesome fire spinning at the Triple 7 fundraiser 
John John Shibley",,Mon Aug 20 05:21:30 +0000 2018
1chefdiva,RT @CBS8: West Fire: Fundraiser held for Alpine fire victims https://t.co/vcnJbtEC7h https://t.co/uupo1kvyds,West Fire: Fundraiser held for Alpine fire victims https://t.co/vcnJbtEC7h https://t.co/uupo1kvyds,Mon Aug 20 04:27:02 +0000 2018
CBS8,West Fire: Fundraiser held for Alpine fire victims https://t.co/vcnJbtEC7h https://t.co/uupo1kvyds,,Mon Aug 20 04:00:04 +0000 2018
rschecke,RT @nyswths: Fire Trucks &amp; Trains- A Fundraiser for the Pohatcong Volunteer FD https://t.co/Ke8FcL8nF3 https://t.co/5a7Tc2HZcp,Fire Trucks &amp; Trains- A Fundraiser for the Pohatcong Volunteer FD https://t.co/Ke8FcL8nF3 https://t.co/5a7Tc2HZcp,Mon Aug 20 02:44:31 +0000 2018
stangdriver02,RT @CBS8: West Fire: Fundraiser held for Alpine fire victims https://t.co/rMq9lzGJan https://t.co/lmCwOEFWY4,West Fire: Fundraiser held for Alpine fire victims https://t.co/rMq9lzGJan https://t.co/lmCwOEFWY4,Mon Aug 20 00:04:23 +0000 2018
CBS8,West Fire: Fundraiser held for Alpine fire victims https://t.co/rMq9lzGJan https://t.co/lmCwOEFWY4,,Sun Aug 19 23:30:09 +0000 2018
SurkaNoelle,"I’m performing at this fundraiser in support of advocacy against sex trafficking tonight!  Come to @novacancyla by 9pm to see me spin some fire 🔥

Repost @sheis_powerful
・・・
It’s that time… https://t.co/kJ6rb8J8UQ",,Sun Aug 19 22:37:58 +0000 2018
zsszemeredy,"RT @BrionyTanner: PLEASE SPONSER ME FOR MY FIRE WALK! 
https://t.co/10NEhvU76E #cssef is an amazing charity I’ve witnessed first hand they…","PLEASE SPONSER ME FOR MY FIRE WALK! 
https://t.co/10NEhvU76E #cssef is an amazing charity I’ve witnessed first hand they brilliant work they do! #Sponsor #charitytuesday #deaf #signlanguage #bsl #asl",Sun Aug 19 22:05:21 +0000 2018
BbqTexs,"RT @TexasLandLender: The fires have started to heat the pits for cooking 1,800 chicken halves for the Bellville Vol Fire Dept fundraiser. S…","The fires have started to heat the pits for cooking 1,800 chicken halves for the Bellville Vol Fire Dept fundraiser. Stay tuned for more pictures during the day. @TexasBrewAndBBQ @NationalBBQNews @BBQsnob #supportyourlocalfiredept https://t.co/rW0OUASU3B",Sun Aug 19 21:11:04 +0000 2018
Will_E_Enoch,"RT @will_enoch: Enoch Group SPC Is Offering Referral Fees For Engraved Brick Fundraiser Prospects:

Colleges/Universities
Religious institu…","Enoch Group SPC Is Offering Referral Fees For Engraved Brick Fundraiser Prospects:

Colleges/Universities
Religious institutions
Non-profit organizations
Hospitals
Fire/Police departments
City/County/Federal governments

Contact us: https://t.co/quq4GVYKXN",Sun Aug 19 21:02:29 +0000 2018
News8,RT @CBS8: West Fire: Fundraiser held for Alpine fire victims https://t.co/ZTkiyp73BD https://t.co/By4j9f50H9,West Fire: Fundraiser held for Alpine fire victims https://t.co/ZTkiyp73BD https://t.co/By4j9f50H9,Sun Aug 19 20:35:05 +0000 2018
CBS8,West Fire: Fundraiser held for Alpine fire victims https://t.co/ZTkiyp73BD https://t.co/By4j9f50H9,,Sun Aug 19 20:30:08 +0000 2018
wagon_fire,"Your owner is hosting a fundraiser for Trump? 

Guess I'm not eating @originalnathans products ever again. 

https://t.co/qHG7RuiCkU",,Sun Aug 19 19:59:42 +0000 2018
sandiegoinforme,West Fire: Fundraiser held for Alpine fire victims https://t.co/1AOaAkrs3s https://t.co/lBqwXLaqNS,,Sun Aug 19 19:53:18 +0000 2018
PulpNews,#West #Fire: Fundraiser held for Alpine #fire #victims - Aug 19 @ 3:46 PM ET  https://t.co/yoStWeuVDd,,Sun Aug 19 19:46:48 +0000 2018
